,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
0,0,3,(171-313j),171,-313,356.66510903086663,9.0,36,9.0
1,0,3,(58-352j),58,-352,356.7464085313264,9.25,37,9.25
2,0,3,(-78-357j),-78,-357,365.4216742340279,9.5,38,9.5
3,0,3,(-193-318j),-193,-318,371.98521475994175,9.75,39,9.75
12,0,3,(-329+243j),-329,243,409.0110022970042,15.0,60,15.0
13,0,3,(-207+270j),-207,270,340.2190470858444,15.25,61,15.25
14,0,3,(-94+324j),-94,324,337.3603414748094,15.5,62,15.5
15,0,3,(35+368j),35,368,369.66065519608657,15.75,63,15.75
24,0,3,(393-156j),393,-156,422.8297529739363,21.0,84,21.0
25,0,3,(264-218j),264,-218,342.37406443829826,21.25,85,21.25
26,0,3,(169-296j),169,-296,340.84747321932724,21.5,86,21.5
27,0,3,(61-367j),61,-367,372.03494459526246,21.75,87,21.75
36,0,3,(-413+5j),-413,5,413.0302652348857,27.0,108,27.0
37,0,3,(-316+117j),-316,117,336.964389809962,27.25,109,27.25
38,0,3,(-260+229j),-260,229,346.46933486240886,27.5,110,27.5
39,0,3,(-194+325j),-194,325,378.4983487414443,27.75,111,27.75
48,0,3,(369+194j),369,194,416.8896736547932,33.0,132,33.0
49,0,3,(340+70j),340,70,347.1310991541956,33.25,133,33.25
50,0,3,(338-69j),338,-69,344.97101327502867,33.5,134,33.5
51,0,3,(323-185j),323,-185,372.2284244922733,33.75,135,33.75
60,0,3,(-229-346j),-229,-346,414.9180642006323,39.0,156,39.0
61,0,3,(-261-229j),-261,-229,347.2203911062828,39.25,157,39.25
62,0,3,(-326-120j),-326,-120,347.38451318387814,39.5,158,39.5
63,0,3,(-377+11j),-377,11,377.1604433129222,39.75,159,39.75
72,0,3,(84+417j),84,417,425.376303994475,45.0,180,45.0
73,0,3,(166+297j),166,297,340.2425605358624,45.25,181,45.25
74,0,3,(261+210j),261,210,334.9940297975473,45.5,182,45.5
75,0,3,(350+107j),350,107,365.99043703353783,45.75,183,45.75
84,0,3,(68-420j),68,-420,425.46915281839176,51.0,204,51.0
85,0,3,(-62-337j),-62,-337,342.6558039782779,51.25,205,51.25
86,0,3,(-184-286j),-184,-286,340.0764619905353,51.5,206,51.5
87,0,3,(-290-226j),-290,-226,367.66288907095316,51.75,207,51.75
96,0,3,(-219+354j),-219,354,416.2655402504512,57.0,228,57.0
97,0,3,(-95+328j),-95,328,341.4805997417716,57.25,229,57.25
98,0,3,(50+333j),50,333,336.7328317821118,57.5,230,57.5
99,0,3,(174+322j),174,322,366.0054644400818,57.75,231,57.75
108,0,3,(352-210j),352,-210,409.88291010970437,63.0,252,63.0
109,0,3,(236-251j),236,-251,344.52430973735363,63.25,253,63.25
110,0,3,(133-314j),133,-314,341.0058650522011,63.5,254,63.5
111,0,3,(13-364j),13,-364,364.2320688791694,63.75,255,63.75
120,0,3,(-436-14j),-436,-14,436.22471273415954,69.0,276,69.0
121,0,3,(-336+95j),-336,95,349.1718774471965,69.25,277,69.25
122,0,3,(-269+211j),-269,211,341.88009594008247,69.5,278,69.5
123,0,3,(-180+326j),-180,326,372.3922662999327,69.75,279,69.75
132,0,3,(405+88j),405,88,414.45023826751503,75.0,300,75.0
133,0,3,(334-41j),334,-41,336.5070578754627,75.25,301,75.25
134,0,3,(299-159j),299,-159,338.64730915806786,75.5,302,75.5
135,0,3,(253-264j),253,-264,365.65694304908254,75.75,303,75.75
144,0,3,(-333-229j),-333,-229,404.14106448120316,81.0,324,81.0
145,0,3,(-320-102j),-320,-102,335.86306733548423,81.25,325,81.25
146,0,3,(-340+37j),-340,37,342.00730986340045,81.5,326,81.5
147,0,3,(-343+156j),-343,156,376.80897016923575,81.75,327,81.75
156,0,3,(205+355j),205,355,409.93901985539264,87.0,348,87.0
157,0,3,(246+236j),246,236,340.898811966249,87.25,349,87.25
158,0,3,(314+130j),314,130,339.8470244095128,87.5,350,87.5
159,0,3,(373+4j),373,4,373.02144710458674,87.75,351,87.75
168,0,3,(5-424j),5,-424,424.0294801072208,93.0,372,93.0
169,0,3,(-102-327j),-102,-327,342.53904886888444,93.25,373,93.25
170,0,3,(-216-266j),-216,-266,342.65434478494507,93.5,374,93.5
171,0,3,(-330-188j),-330,-188,379.7946813740287,93.75,375,93.75
180,0,3,(-133+393j),-133,393,414.89516748210025,99.0,396,99.0
181,0,3,(-8+338j),-8,338,338.09466130064817,99.25,397,99.25
182,0,3,(110+326j),110,326,344.0581346226245,99.5,398,99.5
183,0,3,(222+302j),222,302,374.8172888221673,99.75,399,99.75
192,0,3,(295-279j),295,-279,406.0369441319349,105.0,420,105.0
193,0,3,(161-292j),161,-292,333.44414824674914,105.25,421,105.25
194,0,3,(22-341j),22,-341,341.7089404741995,105.5,422,105.5
195,0,3,(-97-364j),-97,-364,376.70280062670093,105.75,423,105.75
204,0,3,(-362+164j),-362,164,397.4166579296847,111.0,444,111.0
205,0,3,(-241+219j),-241,219,325.64090652127845,111.25,445,111.25
206,0,3,(-142+298j),-142,298,330.1030142243479,111.5,446,111.5
207,0,3,(-30+366j),-30,366,367.22744995438455,111.75,447,111.75
216,0,3,(401-66j),401,-66,406.39512792355174,117.0,468,117.0
217,0,3,(287-154j),287,-154,325.70692347569155,117.25,469,117.25
218,0,3,(216-252j),216,-252,331.9036004625439,117.5,470,117.5
219,0,3,(134-344j),134,-344,369.17746410093883,117.75,471,117.75
228,0,3,(-381-184j),-381,-184,423.1040061261533,123.0,492,123.0
229,0,3,(-343-55j),-343,-55,347.3816345174281,123.25,493,123.25
230,0,3,(-337+59j),-337,59,342.12570789112004,123.5,494,123.5
231,0,3,(-321+171j),-321,171,363.7059251648232,123.75,495,123.75
240,0,3,(257+329j),257,329,417.4805384685614,129.0,516,129.0
241,0,3,(275+197j),275,197,338.2809483255006,129.25,517,129.25
242,0,3,(328+56j),328,56,332.74614948936676,129.5,518,129.5
243,0,3,(359-67j),359,-67,365.1985761198967,129.75,519,129.75
252,0,3,(-121-398j),-121,-398,415.98677863605235,135.0,540,135.0
253,0,3,(-185-283j),-185,-283,338.10353443878694,135.25,541,135.25
254,0,3,(-274-183j),-274,-183,329.49203328760467,135.5,542,135.5
255,0,3,(-359-70j),-359,-70,365.7608508301565,135.75,543,135.75
264,0,3,(-13+419j),-13,419,419.2016221342661,141.0,564,141.0
265,0,3,(89+319j),89,319,331.1827290182868,141.25,565,141.25
266,0,3,(198+262j),198,262,328.40219244091537,141.5,566,141.5
267,0,3,(311+196j),311,196,367.6098475285993,141.75,567,141.75
276,0,3,(171-379j),171,-379,415.79081278931596,147.0,588,147.0
277,0,3,(46-331j),46,-331,334.18108863309425,147.25,589,147.25
278,0,3,(-76-326j),-76,-326,334.7416914577567,147.5,590,147.5
279,0,3,(-195-312j),-195,-312,367.92526415020757,147.75,591,147.75
296,1,18,(82+42j),82,42,92.13034245024816,165.0,36,9.0
297,1,18,(89+5j),89,5,89.1403387922662,165.25,37,9.25
298,1,18,(87-27j),87,-27,91.09335870413386,165.5,38,9.5
299,1,18,(71-60j),71,-60,92.9569792968769,165.75,39,9.75
308,1,18,(-82-19j),-82,-19,84.17244204607586,171.0,60,15.0
309,1,18,(-86-21j),-86,-21,88.52683209061533,171.25,61,15.25
310,1,18,(-87-2j),-87,-2,87.02298546935747,171.5,62,15.5
311,1,18,(-81+32j),-81,32,87.09190547921202,171.75,63,15.75
320,1,18,(78+36j),78,36,85.90692637965812,177.0,84,21.0
321,1,18,(78+42j),78,42,88.58893836140041,177.25,85,21.25
322,1,18,(82+27j),82,27,86.33075929238663,177.5,86,21.5
323,1,18,(86-11j),86,-11,86.70063436907483,177.75,87,21.75
332,1,18,(-75-59j),-75,-59,95.42536350467836,183.0,108,27.0
333,1,18,(-81-56j),-81,-56,98.4733466477097,183.25,109,27.25
334,1,18,(-92-31j),-92,-31,97.082439194738,183.5,110,27.5
335,1,18,(-97+4j),-97,4,97.082439194738,183.75,111,27.75
344,1,18,(44+76j),44,76,87.8179936004006,189.0,132,33.0
345,1,18,(47+73j),47,73,86.82165628459296,189.25,133,33.25
346,1,18,(60+57j),60,57,82.75868534480233,189.5,134,33.5
347,1,18,(81+28j),81,28,85.70297544426332,189.75,135,33.75
356,1,18,(-20-84j),-20,-84,86.34813257969161,195.0,156,39.0
357,1,18,(-20-84j),-20,-84,86.34813257969161,195.25,157,39.25
358,1,18,(-35-75j),-35,-75,82.76472678623425,195.5,158,39.5
359,1,18,(-63-55j),-63,-55,83.6301381082203,195.75,159,39.75
368,1,18,(-10+87j),-10,87,87.5728268357257,201.0,180,45.0
369,1,18,(-9+90j),-9,90,90.44888059008801,201.25,181,45.25
370,1,18,(16+88j),16,88,89.44271909999159,201.5,182,45.5
371,1,18,(50+75j),50,75,90.13878188659973,201.75,183,45.75
380,1,18,(30-78j),30,-78,83.57032966310472,207.0,204,51.0
381,1,18,(36-84j),36,-84,91.3892772703669,207.25,205,51.25
382,1,18,(20-91j),20,-91,93.17188417113823,207.5,206,51.5
383,1,18,(-19-93j),-19,-93,94.92101980067429,207.75,207,51.75
392,1,18,(-64+64j),-64,64,90.50966799187809,213.0,228,57.0
393,1,18,(-67+66j),-67,66,94.04786015641186,213.25,229,57.25
394,1,18,(-48+76j),-48,76,89.88882021697692,213.5,230,57.5
395,1,18,(-14+86j),-14,86,87.13208364316786,213.75,231,57.75
404,1,18,(74-46j),74,-46,87.13208364316786,219.0,252,63.0
405,1,18,(74-49j),74,-49,88.75246475450696,219.25,253,63.25
406,1,18,(61-65j),61,-65,89.1403387922662,219.5,254,63.5
407,1,18,(28-91j),28,-91,95.2102935611481,219.75,255,63.75
416,1,18,(-90+9j),-90,9,90.44888059008801,225.0,276,69.0
417,1,18,(-92+12j),-92,12,92.77930803794561,225.25,277,69.25
418,1,18,(-82+34j),-82,34,88.76936408468859,225.5,278,69.5
419,1,18,(-62+64j),-62,64,89.10667763978185,225.75,279,69.75
428,1,18,(86+31j),86,31,91.4166286842826,231.0,300,75.0
429,1,18,(91+25j),91,25,94.37160589923221,231.25,301,75.25
430,1,18,(93-1j),93,-1,93.00537618869137,231.5,302,75.5
431,1,18,(86-39j),86,-39,94.42986815621421,231.75,303,75.75
440,1,18,(-79-48j),-79,-48,92.43916918709297,237.0,324,81.0
441,1,18,(-84-46j),-84,-46,95.77055915050303,237.25,325,81.25
442,1,18,(-90-23j),-90,-23,92.89241088485109,237.5,326,81.5
443,1,18,(-90+20j),-90,20,92.19544457292888,237.75,327,81.75
452,1,18,(63+60j),63,60,87.0,243.0,348,87.0
453,1,18,(63+62j),63,62,88.3911760301898,243.25,349,87.25
454,1,18,(72+44j),72,44,84.38009243891595,243.5,350,87.5
