pkt,Channel,ant_info,phi_info,mag_info,theta_info,time_stamp
0,15,(193-90j),115.00063935668838,212.9530464679949,0.9583833518035136,10.0
0,15,(135-166j),140.8801625258826,213.96495040076073,1.174083520230638,10.25
0,15,(60-209j),163.98221528160758,217.44194627532195,1.3666480476055534,10.5
0,15,(-26-219j),-173.22945245521527,220.5379785887229,-1.4437315443139156,10.75
0,15,(-189+130j),-55.4786131195273,229.3926764306132,-0.46232679305564606,12.0
0,15,(-109+171j),-32.51453250914285,202.7856010667424,-0.2709554475187168,12.25
0,15,(7+159j),2.520827907710173,159.15401345866212,0.021006899701558685,12.5
0,15,(102+96j),46.73570458892839,140.07141035914503,0.38946720417495195,12.75
0,15,(-22-172j),-172.71104767638985,173.40126873814967,-1.439410136763565,14.0
0,15,(-94-147j),-147.40288312176526,174.4849563716024,-1.22845147622815,14.25
0,15,(-141-104j),-126.41206440352398,175.2055935180153,-1.0534932296873991,14.5
0,15,(-169-35j),-101.70057946281584,172.58621034138272,-0.8475357369912105,14.75
0,15,(57+174j),18.138082155597317,183.09833423600554,0.151150859951487,16.0
0,15,(123+116j),46.67763946615347,169.07099100673656,0.38898331698655625,16.25
0,15,(152+31j),78.47276472650427,155.12897859523216,0.653953904541179,16.5
0,15,(145-63j),113.48411529050487,158.09490820390135,0.9457439063095877,16.75
0,15,(-163-96j),-120.49625827996651,189.16923639957952,-1.004186894821029,18.0
0,15,(-185-27j),-98.30346273136306,186.9598887462228,-0.8192234357377888,18.25
0,15,(-175+56j),-72.25532837494306,183.74166647769363,-0.6021388203162529,18.5
0,15,(-139+124j),-48.264283724018526,186.27130750601393,-0.4022056676588788,18.75
0,15,(172+63j),69.88327483154448,183.17477992343814,0.582370651258109,20.0
0,15,(189+36j),79.21570213243741,192.39802493788756,0.6601454567075369,20.25
0,15,(199+43j),77.80696552449304,203.59273071502332,0.6484052195020753,20.5
0,15,(211+58j),74.63006024922198,218.82641522448793,0.6219293817939426,20.75
0,15,(54-218j),166.08750532347997,224.58851261807672,1.3841971876472372,22.0
0,15,(-30-224j),-172.3718503314193,226.0,-1.4365826017390986,22.25
0,15,(-117-189j),-148.2405199151872,222.28360263411244,-1.2354333966964357,22.5
0,15,(-176-133j),-127.07767834699933,220.60145058453264,-1.0590409552549023,22.75
0,15,(-33+215j),-8.726135776298722,217.51781536232843,-0.07271781765789692,24.0
0,15,(50+181j),15.442446600069568,187.77912557044246,0.1286871631960446,24.25
0,15,(118+85j),54.23332350927721,145.4269576110289,0.4519490493141138,24.5
0,15,(136-25j),100.4160283075707,138.27870407260838,0.8368299875121767,24.75
0,15,(-152-96j),-122.27564431457763,179.77764043395385,-1.019017423294535,26.0
0,15,(-181-20j),-96.30544597726863,182.10161998181127,-0.802571628389014,26.25
0,15,(-177+50j),-74.22576349886336,183.92661580097646,-0.6185600447871603,26.5
0,15,(-139+117j),-49.911788172506,181.6865432551349,-0.415935221354564,26.75
0,15,(160+68j),66.97450799147197,173.85051049680584,0.5581297268021175,28.0
0,15,(161-6j),92.1342587625023,161.11176245079065,0.7678084701244372,28.25
0,15,(121-93j),127.54570118725155,152.6106156202772,1.062941814391164,28.5
0,15,(57-154j),159.6889815668385,164.21023110634732,1.3308611843669582,28.75
0,15,(-178+50j),-74.31000707091613,184.88915598271305,-0.6192621155140776,30.0
0,15,(-146+112j),-52.50734666694966,184.0108692441835,-0.43756547557694964,30.25
0,15,(-90+158j),-29.666715206946456,181.8350901228913,-0.24722339385950992,30.5
0,15,(-8+182j),-2.5168756569395163,182.17573932881405,-0.02097396427625968,30.75
0,15,(160-87j),118.53513659869228,182.12358441453978,0.9878417444469787,32.0
0,15,(159-117j),126.34745820888527,197.40820651634522,1.052954753757446,32.25
0,15,(173-120j),124.7467868421408,210.54453210663058,1.0396136013097943,32.5
0,15,(186-121j),123.04551719750694,221.89411889457548,1.0254340518625378,32.75
0,15,(-130-183j),-144.61067966909349,224.47494292236718,-1.2051778656335501,34.0
0,15,(-184-118j),-122.67222928868311,218.58636736997119,-1.0223228225339058,34.25
0,15,(-213-20j),-95.36415776233005,213.9369065869655,-0.7947267978225205,34.5
0,15,(-205+69j),-71.39752013547613,216.3007165961315,-0.5949900282166795,34.75
0,15,(155+164j),43.38393334931426,225.656819085974,0.36153517704382043,36.0
0,15,(181+69j),69.13237959458083,193.70596273734063,0.5761128711597738,36.25
0,15,(150-28j),100.57352341856092,152.5909564816998,0.8381425869887398,36.5
0,15,(66-117j),150.57254359681028,134.33167906342868,1.2548715174095426,36.75
0,15,(-160+67j),-67.27850184678071,173.46181135915768,-0.5606631296737208,38.0
0,15,(-120+129j),-42.929969346958906,176.18456232031227,-0.3577520691626351,38.25
0,15,(-65+164j),-21.62047604722338,176.41145087550296,-0.18017093065915699,38.5
0,15,(1+179j),0.32008482378166875,179.00279327429502,0.002667373532477413,38.75
0,15,(158-97j),121.54676469354462,185.39956850003725,1.0129424713989417,40.0
0,15,(94-147j),147.40288312176526,174.4849563716024,1.22845147622815,40.25
0,15,(-6-162j),-177.87890360333853,162.11107303327555,-1.4824896075165137,40.5
0,15,(-96-139j),-145.369199619743,168.92897915988246,-1.2115002711714593,40.75
0,15,(-73+170j),-23.239254651258545,185.0108104949546,-0.19366082417421257,42.0
0,15,(6+182j),1.8881880067409302,182.0988742414406,0.015734900253960387,42.25
0,15,(75+164j),24.575427196554706,180.33579788827288,0.20479566271725536,42.5
0,15,(141+115j),50.799217629098415,181.9505427307102,0.42333066517855444,42.75
