channel,omega,phi12,phi23,phi13,mag12,mag23,mag13,phi12_opt,phi23_opt,phi13_opt,mag12_opt,mag23_opt,mag13_opt,phi12_cor,phi23_cor,phi13_cor,phi12_cor_opt,phi23_cor_opt,phi13_cor_opt,phi12_exp,phi23_exp,phi13_exp,phi12_exp_opt,phi23_exp_opt,phi13_exp_opt
28,2462.25,2.954373719637896,0.2260695199003527,-3.102742067641338,80998.39297788568,77488.70530599928,79787.20655593852,2.954378211695528,0.22605962158510068,-3.1027474738989578,81004.6246851611,77494.46939427221,79791.66433891433,1.0872114582892654,-1.6410927414482779,-6.837066590338599,1.0872159503468974,-1.6411026397635298,-6.837071996596219,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,2.874781320380851,0.2946604090845948,-3.1137435777141405,81545.35915672945,78453.27169723388,79294.747367023,2.8751148847782777,0.29428732911750194,-3.1137830932838066,81747.92536007735,78651.76483229449,79495.9194552067,1.0076190590322207,-1.5725018522640357,-6.8480681004114015,1.0079526234296472,-1.5728749322311286,-6.848107615981068,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,2.9058914345231748,0.26609848566234223,-3.1111953869940696,82402.35691410775,80530.32810686916,79887.90512336645,2.9053810645630196,0.266697294511146,-3.1111069481054208,82053.01743242676,80187.97053572453,79562.9312060114,1.0387291731745443,-1.6010637756862882,-6.845519909691331,1.038218803214389,-1.6004649668374844,-6.845431470802682,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,2.859568392873797,0.32823193787994687,-3.0953849764258425,81023.92689817003,80894.65903259622,79538.89860942254,2.8602024161337867,0.32751236629578784,-3.0954705247500116,81365.57511406433,81226.64002135454,79819.91197415261,0.9924061315251664,-1.5389303234686835,-6.829709499123103,0.9930401547851562,-1.5396498950528428,-6.829795047447273,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,3.1194031162761737,0.036205600831047284,-3.1275765900723655,82658.34864065456,79065.81587513025,81980.05236031507,3.119399381270083,0.03620501239075106,-3.1275809135187522,82657.35310370354,79064.72536573617,81978.75856306752,1.2522408549275432,-1.8309566605175833,-6.861901112769626,1.2522371199214526,-1.8309572489578794,-6.861905436216013,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,-3.125117226543,0.035290002325447246,-3.0898272242175526,83279.30239861523,78168.66996437895,82794.90631675356,-3.125162625162911,0.0352455472748142,-3.089917077888097,83471.54215467496,78352.85182793913,82985.11951412089,-4.99227948789163,-1.8318722590231833,-6.824151746914813,-4.9923248865115415,-1.8319167140738164,-6.824241600585358,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,-3.0269460918771407,-0.04015556199510635,-3.067101653872247,83045.1684326066,79088.75552188187,80836.1725961837,-3.026730538571648,-0.04016905166411093,-3.0668995902357588,82786.94704374378,78846.45838684171,80575.71655510084,-4.894108353225771,-1.907317823343737,-6.8014261765695085,-4.893892799920279,-1.9073313130127414,-6.80122411293302,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,-3.090120208745847,0.019200407992752362,-3.070919800753095,83479.56148662977,80367.8135698614,77689.93636244014,-3.090075830727392,0.018974363406382134,-3.0711014673210095,83644.58961321975,80513.0893467903,77844.25623780813,-4.957282470094477,-1.8479618533558781,-6.805244323450356,-4.957238092076023,-1.8481878979422484,-6.8054259900182705,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,3.0276765693142074,0.3118941748214957,-2.9436145630438832,80988.92351426829,83418.61207188717,82145.61053397802,3.0276749465163104,0.3119067226718248,-2.943603637991451,80984.49754809953,83412.65767549623,82138.8061380047,1.1605143079655769,-1.5552680865271349,-6.677939085741144,1.16051268516768,-1.5552555386768057,-6.677928160688712,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,2.9707400583539965,0.34289103533786647,-2.9695542134877235,79030.6735957628,81993.09659355476,80962.1756686417,2.970927608121009,0.34258200769213715,-2.96967569136644,79195.4573715691,82148.88183046399,81107.01057323746,1.103577797005366,-1.524271226010764,-6.7038787361849845,1.1037653467723787,-1.5245802536564934,-6.704000214063701,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,3.0083260457915952,0.3356412220884332,-2.939218039299558,79474.6909399464,82186.03835202182,80588.64895256651,3.008136874048352,0.33590859537454903,-2.9391398377566853,79297.67867927167,82041.57340994272,80467.33221690914,1.1411637844429647,-1.5315210392601972,-6.673542561996819,1.1409746126997213,-1.5312536659740814,-6.673464360453947,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
28,2462.25,2.9285137980931144,0.35195801069951005,-3.002713498386962,81784.60276849182,83237.49906142063,81772.32187604801,2.928609102336179,0.3519614651137398,-3.0026147397296676,81815.6461912319,83234.92430613723,81717.75453412154,1.061351536744484,-1.5152042506491203,-6.7370380210842224,1.0614468409875484,-1.5152007962348906,-6.736939262426929,1.8671622613486305,1.8671622613486305,3.734324522697261,1.8671622613486305,1.8671622613486305,3.734324522697261
