phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12
0.8218280995969487,0.14711811980315592,-4.88212779950161,17,2440.25,1.308486476360115
0.40108422509502795,0.1374663396271565,-4.743223154074564,26,2458.25,1.3181382565361144
0.6826844549802058,0.1278145594511575,-4.493359371420789,35,2476.25,1.3277900367121134
0.6938191398957201,0.14819053982271124,-5.089648154179148,16,2438.25,1.3074140563405596
0.8606979999399103,0.15140779988137765,-4.7861659335706035,13,2432.25,1.3041967962818932
1.297113003438925,0.13103181950982368,-5.098016400956492,32,2470.25,1.3245727766534472
0.9283794890017969,0.1406835996858229,-4.996607783996145,23,2452.25,1.314920996477448
0.9253432738126386,0.1503353798618221,-4.946140831709277,14,2434.25,1.3052692163014488
1.0683872219176171,0.12995939949026836,-4.611469228332396,33,2472.25,1.3256451966730025
0.9293344639369421,0.13961117966626757,-4.748893689692707,24,2454.25,1.3159934164970033
0.5393556859988122,0.14926295984226656,-5.008168908669665,15,2436.25,1.3063416363210043
0.9647980521496671,0.12888697947071281,-4.729226510975301,34,2474.25,1.326717616692558
0.9148105801929314,0.13853875964671203,-4.735856200785626,25,2456.25,1.3170658365165588
0.6184254465046972,0.14819053982271124,-4.9729188602003465,16,2438.25,1.3074140563405596
0.9556591832757053,0.1278145594511575,-4.59381010092738,35,2476.25,1.3277900367121134
0.5020138948988151,0.1374663396271565,-4.832298499468573,26,2458.25,1.3181382565361144
0.8010825934441292,0.14711811980315592,-4.909267199640717,17,2440.25,1.308486476360115
0.8873923563232651,0.15140779988137765,-4.76432518687753,13,2432.25,1.3041967962818932
0.7663425886542559,0.14604569978360038,-4.8627524438510354,18,2442.25,1.3095588963796705
0.9524422933575343,0.1503353798618221,-4.905780279850205,14,2434.25,1.3052692163014488
1.0003726052603943,0.12995939949026836,-4.50325503694713,33,2472.25,1.3256451966730025
0.6507990745819277,0.14926295984226656,-5.075430772017172,15,2436.25,1.3063416363210043
1.338190174654895,0.1535526399204885,-4.818457027744367,11,2428.25,1.3020519562427824
0.45347327915908475,0.1439008597444893,-4.976851322822085,20,2446.25,1.3117037364187816
0.947353915896608,0.13961117966626757,-4.749672284795656,24,2454.25,1.3159934164970033
1.1696106677797935,0.15248021990093297,-4.736182287348699,12,2430.25,1.303124376262338
0.6887272664914419,0.14282843972493398,-5.057000292297019,21,2448.25,1.312776156438337
0.448938090181795,0.13317665954893476,-5.031832354123336,30,2466.25,1.322427936614336
0.7467351379063605,0.14175601970537843,-5.023028966557208,22,2450.25,1.3138485764578924
1.0779325340254957,0.13210423952937922,-5.256269982307428,31,2468.25,1.3235003566338917
0.7427905452881598,0.14604569978360038,-4.891284879474432,18,2442.25,1.3095588963796705
0.4188280379168303,0.13639391960760094,-5.031622312868259,27,2460.25,1.31921067655567
0.47768777524111217,0.14497327976404484,-4.929937842361213,19,2444.25,1.310631316399226
0.3922644813509437,0.13532149958804562,-5.152135574479254,28,2462.25,1.3202830965752252
0.5156493697389375,0.14926295984226656,-4.933800606999416,15,2436.25,1.3063416363210043
0.5884827388494003,0.14819053982271124,-4.937029796578114,16,2438.25,1.3074140563405596
0.7756765340598399,0.13853875964671203,-4.746668313722846,25,2456.25,1.3170658365165588
0.948485524740738,0.12888697947071281,-4.631569338230257,34,2474.25,1.326717616692558
0.7852551252885049,0.14711811980315592,-4.883005605420454,17,2440.25,1.308486476360115
0.5124377389206491,0.1374663396271565,-4.882575965720836,26,2458.25,1.3181382565361144
0.5983822644333554,0.1278145594511575,-4.5084652153020555,35,2476.25,1.3277900367121134
0.8672179209681377,0.15140779988137765,-4.773113896358032,13,2432.25,1.3041967962818932
1.2776991239068152,0.13103181950982368,-5.069488061433329,32,2470.25,1.3245727766534472
0.9472638294304248,0.1406835996858229,-4.977723921838123,23,2452.25,1.314920996477448
0.9627029359672101,0.1503353798618221,-4.878595614038915,14,2434.25,1.3052692163014488
0.4703999275423305,0.14497327976404484,-4.889984035450382,19,2444.25,1.310631316399226
0.3075977754149577,0.1342490795684903,-4.932444879285458,29,2464.25,1.3213555165947806
1.087809191183475,0.15784231999871046,-5.406490660901748,8,2420.25,1.2977622761645604
0.9781875071572368,0.158914740018266,-5.366788133735107,7,2418.25,1.2966898561450049
0.9813114515123238,0.1621320000769324,-5.18920140545267,4,2412.25,1.2934725960863385
0.9796297509398368,0.16105958005737686,-5.112757256197369,5,2414.25,1.294545016105894
1.1481804580562733,0.15998716003782132,-5.463159691484163,6,2416.25,1.2956174361254496
0.9735551543116392,0.158914740018266,-5.368470283104661,7,2418.25,1.2966898561450049
1.0392760657836642,0.15784231999871046,-5.411218443949661,8,2420.25,1.2977622761645604
1.2802948246760129,0.15676989997915491,-5.390500750492349,9,2422.25,1.298834696184116
1.0635970738026128,0.16105958005737686,-5.220748114768867,5,2414.25,1.294545016105894
0.9432321114791853,0.16320442009648795,-5.160112129485607,3,2410.25,1.292400176066783
0.9714464653203374,0.16427684011604327,-5.205651190014744,2,2408.25,1.2913277560472276
1.252919551139008,0.15676989997915491,-5.35804691581302,9,2422.25,1.298834696184116
1.1899661785349316,0.15569747995959937,-4.909480825423863,10,2424.25,1.2999071162036715
0.41600131397768325,0.16642168015515413,-5.052032599894048,0,2404.25,1.2891829160081167
1.083367364557282,0.15998716003782132,-5.364167182909654,6,2416.25,1.2956174361254496
1.0722966304267396,0.15784231999871046,-5.39694557493573,8,2420.25,1.2977622761645604
1.145235317047557,0.158914740018266,-5.479404518565588,7,2418.25,1.2966898561450049
0.9476898075749447,0.1621320000769324,-5.1655756394098296,4,2412.25,1.2934725960863385
0.5851622535848893,0.1653492601355988,-5.1445618131149615,1,2406.25,1.290255336027672
1.2094605908778664,0.15569747995959937,-4.910738116060948,10,2424.25,1.2999071162036715
