phi12_correction,phi23_correction,phi13_correction,channel,omega
2.7796662729728974,0.5923282828522973,2.9078841947429956,3,2410.25
2.3386114097635033,1.414875716716529,2.6589853249966406,18,2442.25
2.127720688354899,1.6632738754143046,2.622642517526094,29,2464.25
2.685831735759703,0.5015420531650068,-0.7031626596919599,7,2418.25
2.2561747423056557,1.3658096473366992,2.6591648661825165,14,2434.25
2.4207873147867325,1.405280858199949,2.5871454065563886,25,2456.25
2.6770405670754123,1.4211321098179268,2.3158879061541864,33,2472.25
2.5417889704149266,1.047101283468216,2.824005699345757,22,2450.25
1.5034795525766533,0.939912388401375,2.4629929025871373,11,2428.25
2.0321042085331076,1.3079190371342155,2.8740880316369095,0,2404.25
2.2416122326905463,1.5033859569034316,2.6683212653871493,26,2458.25
2.0796620595228483,1.4061843749482064,2.926308390691448,15,2436.25
2.7743070765228,0.574290777060497,2.6695873846238003,4,2412.25
2.2175377577845006,1.336823754022676,2.859381444926178,30,2466.25
2.04927845730367,1.6255534446685098,2.7377464249425496,19,2444.25
2.8594604682651537,0.25637014228913285,-1.8750606979294397,8,2420.25
2.6448492114022706,1.318688834406159,2.4506284126771525,34,2474.25
2.6749506572970034,0.9411628388022963,2.7968883325676575,23,2452.25
2.3741796272355744,1.285677545122317,2.5570068663358163,25,2456.25
1.9366591314689054,1.345914025366138,2.671326864240892,14,2434.25
2.265982205530274,1.2943145054746044,2.851963989595682,16,2438.25
2.5787213361736385,0.4996366272455733,2.809033456326368,5,2414.25
2.7139047403249914,0.6651269989395541,2.0530693886600555,31,2468.25
2.2441219452949306,1.2602560179189077,2.9083062391389487,20,2446.25
2.817631820895334,0.2003240775263475,0.3827648389842052,9,2422.25
2.36092169462871,1.458192948094153,2.398808150351414,35,2476.25
2.52972408094109,1.040643431622149,2.646390650692413,24,2454.25
2.417244738848571,1.5751164074811073,2.4195819279567115,13,2432.25
2.7807683898424145,0.45969421242978203,1.0103650174145287,2,2408.25
2.3251840164132593,1.2025478713493754,2.885799318094606,28,2462.25
2.444388108412245,1.1375444161136268,2.764984204562958,17,2440.25
2.7334543687474433,0.36345942651914737,0.9579877853229993,6,2416.25
2.9174260733436004,0.7512737231628246,2.7452549111030433,32,2470.25
2.4259372726141195,1.1716499008905652,2.815202904286159,21,2448.25
2.1033266106921134,0.608607610269359,2.7178376473258794,10,2424.25
2.7234689217166372,1.3591663864501538,2.3292018906815413,12,2430.25
2.212672113708632,1.3648281654969838,2.8347604213949436,16,2438.25
2.3693912194379014,0.4919107886305298,2.8297398708277854,5,2414.25
2.294719827712952,1.2101972019950793,2.908508300711153,27,2460.25
2.695728774384187,0.42011771719328855,-1.6794681661696635,1,2406.25
2.718684621685872,0.6528523171033491,1.8642146482860176,31,2468.25
2.258241562378127,1.3465654092759334,2.807877230698726,20,2446.25
2.466717933150656,0.03571937301766289,-1.9160599876032887,9,2422.25
1.4773881441398462,0.9727130960984355,2.4562836033268844,11,2428.25
2.440515581674094,1.5413714552767104,2.430056037335585,13,2432.25
2.8111452407732362,0.4768732819284473,1.9445568012318515,2,2408.25
2.448630978929221,0.9455319948431047,3.0193682320849153,28,2462.25
2.4410237224417974,1.2172309844356717,2.754111869161148,17,2440.25
2.704804085111019,0.5557563145480645,1.8415387321271048,6,2416.25
2.8849889311623604,0.8691774205489906,2.5943385089483293,32,2470.25
2.435753656470929,1.1430889500829564,2.8339474712369586,21,2448.25
2.337502854709769,0.5967042014826252,2.7573641998941074,10,2424.25
2.77070511767978,1.3201632983860685,2.320968782782483,12,2430.25
2.9113695614646096,0.1883964993427582,-1.7288375823493434,1,2406.25
2.3196438645734636,1.2401976928969205,2.853583772948799,27,2460.25
2.2880372410449206,1.2525826593329432,2.8716408002226963,16,2438.25
2.793263159002846,0.6029636026150222,2.166774060206307,31,2468.25
2.258228529517734,1.3007864428446805,2.8536692299903725,20,2446.25
2.2304856842737397,0.4195220777319966,2.9755842699406934,5,2414.25
1.8609080406580434,-0.011157732685470836,-1.5251723772066919,9,2422.25
1.7128684626340456,1.5646587614849963,1.9548363489383798,0,2404.25
2.872028152603885,0.34606654020105015,0.509134151283491,2,2408.25
1.4492275471190408,1.0259845476781642,2.431172748767961,11,2428.25
2.4031053212860054,1.1096184311808595,2.9008074533903763,28,2462.25
2.8209087480973807,0.7715889404488839,2.821457019063203,32,2470.25
2.4352316523432114,0.748476820025637,-0.6996032185741551,6,2416.25
2.5196133457179526,1.0591790849670495,2.8339976471058415,21,2448.25
2.3127252504733042,1.0593643503899812,2.778477587376181,17,2440.25
2.751404971569171,0.754192980091194,2.644122233074648,10,2424.25
2.42266265317586,1.157825869693341,2.832936807549983,27,2460.25
2.658083505539573,0.5115035991800632,-0.16241245251692715,1,2406.25
2.741167888322949,1.2929958006683646,2.377673509857018,12,2430.25
2.358915459799446,1.2308322973582766,2.822512943442837,16,2438.25
