phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12
-0.044199947865181555,-0.2893396519817031,-6.616724907026471,15,2436.25,1.8474460591778257
-0.0252458475376105,0.4222861181828321,-5.886145036534364,35,2476.25,1.8777786779021408
0.36512056359867584,-0.6042426847446196,-6.52230742832553,18,2442.25,1.8519959519864728
-3.349851102511205,-1.8979566820852636,-4.855108702897745,1,2406.25,1.824696595134589
0.2132745673467782,-0.5461715109967706,-4.979836077084895,21,2448.25,1.8565458447951202
0.09593018584950053,-0.16489966862144656,-6.221255096051957,4,2412.25,1.8292464879432364
-4.192182130697454,-1.1406745212150535,-5.332856651912507,24,2454.25,1.8610957376037673
-0.3080181877588566,-0.032306238819878486,-5.707211876461298,27,2460.25,1.865645630412415
-0.6354429176643408,0.5478914633259191,-5.716238292020135,7,2418.25,1.8337963807518836
-4.167795756177727,-2.1061513350439363,-6.273947091221663,10,2424.25,1.8383462735605312
-0.061464263862901714,-0.021657554631288045,-6.366307125673776,30,2466.25,1.870195523221062
0.28149584987307885,-0.6151091657940033,-6.616798623100511,16,2438.25,1.8489626901140415
0.033403423289404266,-0.1895174918633007,-6.4392993757534835,13,2432.25,1.844412797305394
0.3229292004987392,-0.27673815249810896,-6.236994259178957,33,2472.25,1.8747454160297092
-0.4250835953270151,0.0045973942772719045,-6.1800727326310305,19,2444.25,1.8535125829226888
-0.00524817357056917,-0.2159546561230934,-6.504388136873249,5,2414.25,1.8307631188794522
0.17778050612281948,0.9249653710100221,-5.114989583096957,22,2450.25,1.858062475731336
0.80867719959721,-1.1649568603431733,-6.508565274025975,2,2408.25,1.826213226070805
-1.8210000513619862,-0.4805650813075897,-5.377707939309582,25,2456.25,1.8626123685399831
0.3806088592839503,-0.6086284029115014,-6.511204850807138,18,2442.25,1.8519959519864728
-3.112137087678188,-1.8620359274523457,-5.5632216376786205,1,2406.25,1.824696595134589
0.15846501707624583,-0.46748120112530134,-5.021405164433745,21,2448.25,1.8565458447951202
0.0911693002094982,-0.15914524309144817,-6.351161250061537,4,2412.25,1.8292464879432364
-4.166585549793594,-1.1701388135549053,-5.336724363348499,24,2454.25,1.8610957376037673
-0.5816823636476185,-1.0516019204103166,-4.774876937647728,7,2418.25,1.8337963807518836
-0.5017353002491831,-0.06561906765883019,-5.737892276941215,27,2460.25,1.865645630412415
-0.52785375669906,-0.038867961665403294,-4.166463300602768,20,2446.25,1.8550292138589044
0.026920531103842293,-0.1958051610811653,-6.45206993715691,13,2432.25,1.844412797305394
0.2912095018225249,-0.6223275932574053,-6.614303398614467,16,2438.25,1.8489626901140415
-3.0393360833649026,-2.9876274626123953,-6.026963545977298,9,2422.25,1.8368296426243151
0.31225763699954756,-0.2690266809518358,-6.239954351131875,33,2472.25,1.8747454160297092
-0.016007780832771434,0.08049697498516273,-6.218696113027194,29,2464.25,1.8686788922848463
0.5402522824288714,-0.4903316897953913,-6.233264714546106,12,2430.25,1.8428961663691783
-0.180042636249774,-0.15757548365229468,-6.620803427081656,15,2436.25,1.8474460591778257
0.1725282416067242,-0.26482106715590525,-6.375478132728768,32,2470.25,1.8732287850934934
-0.7158993741253992,-3.1663201557972673,-3.8822195299226663,8,2420.25,1.8353130116880996
0.11321734496932279,0.26169528785071505,-5.908272674359549,28,2462.25,1.8671622613486305
-0.5294862833527068,-0.8479643217444385,-6.155289432431623,11,2428.25,1.8413795354329627
0.10037684656626533,-0.2273654472683404,-6.410173907881662,31,2468.25,1.8717121541572779
-0.12622184683106097,-0.1720465148915582,-6.581453668902205,14,2434.25,1.8459294282416099
0.4869895573083891,-0.16598079813590583,-5.962176548007103,34,2474.25,1.876262046965925
-4.271187213685966,-2.865258937591194,-0.8532608440975733,0,2404.25,1.8231799641983732
0.5760549671786146,-0.9223097213144403,-5.974941591817538,17,2440.25,1.850479321050257
-0.1941162210638987,-0.3858108447986617,-3.656069872502566,20,2446.25,1.8550292138589044
-3.0407457539079283,-1.8198203338099166,-4.860566087717845,23,2452.25,1.8595791066675516
0.4862647152260642,-0.8442463470093209,-6.575717092013056,16,2438.25,1.8489626901140415
0.6447572678365163,-0.688483250586267,-6.3269112899293365,3,2410.25,1.8277298570070206
-2.750960665539622,-2.2359932298656084,-4.00520619115842,6,2416.25,1.832279749815668
-2.1741644810744427,-3.0545134210207707,-5.228677902095213,9,2422.25,1.8368296426243151
0.004874400115405297,0.040752043790608594,-6.237558863273573,29,2464.25,1.8686788922848463
0.5511113426098235,-0.5624179677839625,-6.294491932353726,12,2430.25,1.8428961663691783
0.37585947878430526,-0.6423366580689831,-6.549662486464264,32,2470.25,1.8732287850934934
0.370670889420708,-0.8067730010766043,-5.802989561538459,15,2436.25,1.8474460591778257
-0.3696531795893454,-1.2069743749991053,-6.3544663819229275,11,2428.25,1.8413795354329627
0.5932302808585734,-0.9794841975319644,-6.4076398360538285,18,2442.25,1.8519959519864728
0.009675750687236251,-0.23525892856423902,-6.508768485056589,31,2468.25,1.8717121541572779
0.20626056463189468,-0.6115096801791677,-6.557534728827284,14,2434.25,1.8459294282416099
0.5248291844846755,-0.30803384278335755,-6.066389965478269,34,2474.25,1.876262046965925
0.6807604979702049,-1.1728314495115524,-5.073560238026463,17,2440.25,1.850479321050257
-4.248303968146916,-3.1502308591774675,-1.1153495201447967,0,2404.25,1.8231799641983732
-0.1376494548762921,-0.5733788244521665,-1.692775983575269,20,2446.25,1.8550292138589044
0.5890335564000742,-0.6721961951139102,-6.366347945893423,3,2410.25,1.8277298570070206
-2.111315942586565,-2.7611497670539595,-4.872465709640524,23,2452.25,1.8595791066675516
-0.8028240587300222,0.25936028498112096,-3.4887068864893327,6,2416.25,1.832279749815668
0.698085195736496,-0.14509813226282642,-5.7301982437059165,26,2458.25,1.864128999476199
-0.20249180676058987,-0.29423909510887647,-5.274569729203943,19,2444.25,1.8535125829226888
0.5211414438828468,-0.6621977095464944,-6.4242415728432345,12,2430.25,1.8428961663691783
0.3723860727103392,-0.586248105033349,-6.497047339502597,32,2470.25,1.8732287850934934
