phi12_correction,phi23_correction,phi13_correction,channel,omega
1.4553678125840699,-0.7319701775365302,0.2592872739653407,3,2410.25
0.9967307273095614,0.07299503426258669,-0.024776039911243775,18,2442.25
0.7737522282311906,0.3093054152905963,-0.08529440272132272,29,2464.25
1.3571377198545966,-0.8271519627400994,-3.3605506915021723,7,2418.25
0.9186896153679922,0.028324520399035436,-0.015805387692811035,14,2434.25
1.0712144101793026,0.05570795359251912,-0.11200040265847111,25,2456.25
1.3186765514354253,0.0627680941779396,-0.40084012512578804,33,2472.25
1.195512732444706,-0.2991749545020048,0.13145322340531518,22,2450.25
0.16929109227619876,-0.39427607189907965,-0.20538401801377182,11,2428.25
0.7111024147814891,-0.013082756617403213,0.23208444413367202,0,2404.25
0.8909404392040465,0.152714163416932,-0.033022321585849834,26,2458.25
0.7410780437061149,0.06760035913147289,0.24914035905798126,15,2436.25
1.448909727254903,-0.7511065722074002,0.018792686088005883,4,2412.25
0.8624704087817223,-0.018243594980102085,0.149246746920622,30,2466.25
0.7062988859706583,0.2825738733354979,0.05178728227652574,19,2444.25
1.5296675634809775,-1.073422762495043,-4.534646507497792,8,2420.25
1.2853863068832136,-0.04077407011289802,-0.2682973963609614,34,2474.25
1.3275755304477128,-0.4062122880469943,0.10213807886907622,23,2452.25
1.0246067226281446,-0.06389535948511282,-0.14213894287904338,25,2456.25
0.5991740045312417,0.008428898428474163,-0.0036433896344356675,14,2434.25
0.9262993008344711,-0.04536839922119862,0.1725981802040759,16,2438.25
1.2522250980266716,-0.8268596109013937,0.15604098003243427,5,2414.25
1.3577385024431436,-0.6910392389422938,-0.6592630871036402,31,2468.25
0.9000434850828491,-0.08382244229317393,0.22014931871478538,20,2446.25
1.4867400272320883,-1.130567716136898,-2.279018748342286,9,2422.25
1.0003599012305837,0.09763115469602646,-0.32231543644483907,35,2476.25
1.1812500652127298,-0.3078305841062112,-0.05055738076430716,24,2454.25
1.080858500789977,0.23873016942251346,-0.25319054816047615,13,2432.25
1.4575688183326567,-0.8635053590799759,-1.6360341256049873,2,2408.25
0.9723144451686203,-0.15032169989526345,0.1800601756053286,28,2462.25
1.1036063148373725,-0.2032373774612457,0.08342061741321283,17,2440.25
1.4058592417214064,-0.9641357005068893,-1.697202468729074,6,2416.25
1.5601609465826827,-0.605991403598093,0.030724657581208348,32,2470.25
1.0807599235229683,-0.17352744820058597,0.12484820610385672,21,2448.25
0.7713359281497978,-0.7233830722729565,0.05385628224124872,10,2424.25
1.388181572537113,0.023879037270629455,-0.34137280767750733,12,2430.25
0.8729892090128291,0.025145260801180846,0.1553946120033376,16,2438.25
1.0428949812909345,-0.8345854495164371,0.17674739453385158,5,2414.25
0.9429491453473828,-0.14157348037049,0.2049669359800146,27,2460.25
1.3736280917534986,-0.9019829654373996,-4.32366953143104,1,2406.25
1.3625183838040245,-0.7033139207784987,-0.8481178274776782,31,2468.25
0.9141631021660457,0.0024869490638517178,0.11972031027456254,20,2446.25
1.1358261394874103,-1.2951724206455828,-4.57784357492978,9,2422.25
0.14319968383939163,-0.3614753642020192,-0.2120933172740247,11,2428.25
1.1041293436155002,0.20498521721811658,-0.24271643878160276,13,2432.25
1.4879456692634785,-0.8463262895813106,-0.7018423417876645,2,2408.25
1.0957614076845819,-0.40733757640153423,0.31362908959563773,28,2462.25
1.100241928866925,-0.1235508091392008,0.07254828201140295,17,2440.25
1.377208958084982,-0.7718388124779721,-0.8136515219249685,6,2416.25
1.5277238044014427,-0.488087706211927,-0.12019174457350568,32,2470.25
1.0905763073797776,-0.20208839900819475,0.14359277305465623,21,2448.25
1.0055121721674534,-0.7352864810596903,0.09338283480947673,10,2424.25
1.4354177685002558,-0.015124050793455801,-0.3496059155765656,12,2430.25
1.5892688788339213,-1.13370418328793,-4.37303894761072,1,2406.25
0.9678731822078943,-0.1115729894686488,0.15004240821766057,27,2460.25
0.9483543363491178,-0.08710024536285976,0.19227499083109034,16,2438.25
1.4370969211209983,-0.7532026352668256,-0.5455584155573887,31,2468.25
0.9141500693056526,-0.04329201736740118,0.16551230956620921,20,2446.25
0.9039894461267728,-0.9069741604149704,0.3225917936467595,5,2414.25
0.5300162469947978,-1.3420495263487164,-4.186955964533183,9,2422.25
0.3918666688824268,0.24365696773337753,-0.6871672385648575,0,2404.25
1.5488285810941271,-0.9771330313087078,-2.137264991736025,2,2408.25
0.11503908681858621,-0.3082039126222904,-0.23720417183294806,11,2428.25
1.0502357500413664,-0.24325114006377935,0.19506831090109866,28,2462.25
1.463643621336463,-0.5856761863120337,0.10692676554136815,32,2470.25
1.1076365253171745,-0.5791183070003997,-3.3547934726262283,6,2416.25
1.1744359966268014,-0.2859982641241017,0.14364294892353913,21,2448.25
0.9719434568984318,-0.28141744318489126,0.09691400022643615,17,2440.25
1.4194142890268553,-0.5777977024511214,-0.019859132009982794,10,2424.25
1.0708919708102906,-0.1939448126722283,0.1293954428188444,27,2460.25
1.3359828229088846,-0.8105970834506251,-2.8066138177783033,1,2406.25
1.4058805391434246,-0.04229154851115968,-0.2929011885020305,12,2430.25
1.0192325551036434,-0.10885060733752638,0.14314713405123092,16,2438.25
