phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12,ave_phi12,ave_phi23,ave_phi13
-1.8851965658016574,-1.8218200028964584,-3.5106670278487537,0,2404.25,1.8229022850590555,-0.06229428074260194,0.001082282162597055,0.13513754226935715
-0.015625140195504317,-1.718334335605424,-5.137351517189871,13,2432.25,1.8441318843027505,1.8285067441072462,0.12579754869732654,-1.4490877485843698
-1.4905324753032523,-1.8131467837725221,-4.939925432820458,26,2458.25,1.8638450836004672,0.37331260829721485,0.05069829982794507,-1.212235265619524
-0.7790827294848597,-1.767435891788288,-5.884460815712303,24,2454.25,1.8608122837085106,1.081729554223651,0.09337639192022262,-2.1628362482952816
-2.386296745679439,-1.8901143768734552,-2.3783655610090606,2,2408.25,1.825935084951012,-0.5603616607284266,-0.06417929192244319,1.2735046088929636
-0.5011504799300777,-1.7882761073539035,-4.7765207713759015,15,2436.25,1.847164684194707,1.3460142042646293,0.05888857684080334,-1.0821914029864874
-1.8005906305033315,-1.844070555900704,-4.4955091967512715,28,2462.25,1.8668778834924236,0.0662872529890921,0.02280732759171959,-0.7617534297664239
-0.3994959635996067,-1.749837727549926,-5.9454248142371995,23,2452.25,1.8592958837625324,1.4597999201629257,0.10945815621260652,-2.2268330467121347
-0.6350497725235726,-1.7540497116617866,-4.6143942804781295,4,2412.25,1.8289678848429682,1.1939181123193956,0.07491817318118156,-0.956458510792193
-0.8187448288620298,-1.8074676486592425,-4.327908498215743,17,2440.25,1.850197484086663,1.0314526552246333,0.0427298354274206,-0.6275135300424175
-2.0833645885127803,-1.8332033166589319,-4.047467599071287,10,2424.25,1.8380662845188376,-0.2452983039939427,0.004862967859905796,-0.3713350300336116
-2.5813346057424975,-1.8591891561204577,-3.7860252923650815,30,2466.25,1.86991068338438,-0.7114239223581177,0.010721527263922349,-0.04620392559632166
-0.30806776274741576,-1.7349959299767912,-5.0537566524144255,6,2416.25,1.8320006847349248,1.523932921987509,0.09700475475813371,-1.3897552829445756
-2.1009656190933024,-1.8718280444930455,-3.383745041038262,19,2444.25,1.8532302839786199,-0.2477353351146827,-0.018597760514425663,0.32271552691897787
-0.2198020294862295,-1.780540452670393,-5.53463421744514,34,2474.25,1.8759762831682927,1.6561742536820632,0.09543583049789983,-1.7826816511085541
-2.937098409006861,-1.9189293339484568,-2.82708248751191,21,2448.25,1.856263083870576,-1.0808353251362848,-0.06266625007788085,0.8854436802292422
-1.199927399149668,-1.8080002261788177,-3.9896753295752965,8,2420.25,1.8350334846268812,0.6351060854772133,0.02703325844806337,-0.3196083603215339
-0.4176474223569915,-1.7580695422765524,-5.579109006022486,32,2470.25,1.8729434832763363,1.4552960609193448,0.11487394099978383,-1.833222039469814
-2.7445412124242745,-1.8835195646837641,-3.188164144212717,19,2444.25,1.8532302839786199,-0.8913109284456547,-0.030289280705144233,0.5182964237445229
-0.6840450543541774,-1.7858092075641376,-3.7788512009140622,6,2416.25,1.8320006847349248,1.1479556303807474,0.04619147717078717,-0.1148498314442125
-2.3160498446681754,-1.8764222271727773,-4.061572377941378,30,2466.25,1.86991068338438,-0.44613916128379544,-0.0065115437883973915,-0.32175101117261806
-0.701935207763674,-1.816517443897613,-4.220148672355759,17,2440.25,1.850197484086663,1.148262276322989,0.03368004018904994,-0.5197537041824324
-1.3816548890063678,-1.7468221937221178,-5.288322032071468,4,2412.25,1.8289678848429682,0.4473129958366004,0.08214569112085056,-1.6303862623855319
-1.2817749644682783,-1.8443766934817336,-4.566048290845334,28,2462.25,1.8668778834924236,0.5851029190241452,0.02250119001068987,-0.8322925238604868
-0.44783435330539567,-1.7653096775154884,-5.158387143561315,15,2436.25,1.847164684194707,1.3993303308893112,0.08185500667921862,-1.4640577751719013
-2.2016240030202607,-1.8926850047757093,-1.8690142115032,2,2408.25,1.825935084951012,-0.3756889180692487,-0.06674991982469726,1.7828559583988242
-1.234860161930483,-1.805068835565691,-5.068874252939582,26,2458.25,1.8638450836004672,0.6289849216699841,0.05877624803477619,-1.3411840857386477
-2.9015339819556183,-1.961184599725567,-2.1792748567399034,13,2432.25,1.8441318843027505,-1.0574020976528677,-0.11705271542281648,1.5089889118655975
-2.3908313779044503,-1.8354663655574834,-4.095398049562359,0,2404.25,1.8229022850590555,-0.567929092845395,-0.012564080498428026,-0.44959347944424816
-0.7176541495224547,-1.7807840529681256,-5.574581009130586,24,2454.25,1.8608122837085106,1.143158134186056,0.08002823074038495,-1.8529564417135653
