phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12,ave_phi12,ave_phi23,ave_phi13
0.7604762832617034,-1.629911985387683,-6.629022233707267,28,2462.25,1.8671622613486305,2.627638544610334,0.23725027596094764,-2.894697711010006
-0.17335924367557953,-1.7415011434279224,-5.645501663241381,33,2472.25,1.8747454160297092,1.7013861723541297,0.13324427260178687,-1.8960108311819626
0.1478297401118558,-1.7174892452231207,-6.020249097696805,31,2468.25,1.8717121541572779,2.0195418942691337,0.15422290893415713,-2.2768247893822497
-0.7103127616486429,-1.7437058072036626,-4.482963824295714,6,2416.25,1.832279749815668,1.1219669881670251,0.08857394261200535,-0.8184043246643777
-2.5557315343752713,-1.87171574904866,-4.1001980486749945,19,2444.25,1.8535125829226888,-0.7022189514525824,-0.01820316612597115,-0.3931728828296168
-0.6224307507127589,-1.7483597381166345,-5.316033601569824,7,2418.25,1.8337963807518836,1.2113656300391247,0.08543664263524901,-1.6484408400660573
-0.8697923538800488,-1.8420141530030936,-4.282602833678039,3,2410.25,1.8277298570070206,0.9579375031269718,-0.014284295996073023,-0.6271431196639979
-1.5508785967759267,-2.131563513027415,-3.4206427220041924,15,2436.25,1.8474460591778257,0.29656746240189896,-0.28411745384958953,0.27424939635145895
0.4901025951590505,-1.6811306491620066,-5.248918564889772,2,2408.25,1.826213226070805,2.3163158212298556,0.14508257690879836,-1.5964921127481617
-1.7404696667456498,-1.8361602277787075,-4.427477904871592,27,2460.25,1.865645630412415,0.12517596366676517,0.029485402633707528,-0.696186644046763
-0.8546055832644358,-1.7398962791146777,-5.081596046471033,14,2434.25,1.8459294282416099,0.9913238449771741,0.10603314912693214,-1.3897371899878133
-1.288982358891512,-1.8604231805181088,-3.4112049272087703,28,2462.25,1.8671622613486305,0.5781799024571185,0.006739080830521621,0.3231195954884907
-0.45160703804686264,-1.7782859217863434,-4.520637603075763,16,2438.25,1.8489626901140415,1.3973556520671788,0.07067676832769805,-0.8227122228476808
-0.313693118602407,-1.7479758874288058,-4.286963802323983,4,2412.25,1.8292464879432364,1.5155533693408294,0.08127060051443065,-0.6284708264375102
0.5962088307430278,-1.67409770704932,-6.4447763261888555,29,2464.25,1.8686788922848463,2.464887723027874,0.19458118523552645,-2.707418541619163
-0.9012344591383878,-1.7953981423027316,-4.3328787751858036,17,2440.25,1.850479321050257,0.9492448619118692,0.055081178747525474,-0.6319201330852894
0.19511448697284184,-1.7120103821486539,-4.658488548765606,5,2414.25,1.8307631188794522,2.025877605852294,0.11875273673079828,-0.9969623110067009
0.5183970602050436,-1.6738897111428552,-6.195130866071438,30,2466.25,1.870195523221062,2.3885925834261057,0.19630581207820696,-2.454739819629314
-1.4106352053569176,-1.8320501579498196,-3.5044847511058865,18,2442.25,1.8519959519864728,0.4413607466295552,0.019945794036653308,0.19950715286705903
0.06586452281457134,-1.7980555574632069,-5.070133229087791,32,2470.25,1.8732287850934934,1.9390933079080648,0.07517322763028662,-1.323675658900804
0.09460988988936037,-1.814883114915691,-5.450914501164211,32,2470.25,1.8732287850934934,1.9678386749828538,0.05834567017780251,-1.7044569309772235
1.0531052924524174,-1.6540429915074204,-6.229624536736717,20,2446.25,1.8550292138589044,2.9081345063113218,0.20098622235148392,-2.5195661090189074
-1.1967346519783213,-1.8052882612413919,-4.049220464416311,8,2420.25,1.8353130116880996,0.6385783597097784,0.030024750446707788,-0.3785944410401115
-1.6270793813799385,-2.1844416631854293,-3.4188219628666436,15,2436.25,1.8474460591778257,0.2203666777978871,-0.3369956040076036,0.2760701554890079
-1.2478536569340193,-2.334464560083224,-4.760415462113416,3,2410.25,1.8277298570070206,0.5798762000730012,-0.5067347030762032,-1.1049557480993746
-0.3065197185796098,-1.7628826436972287,-4.556496546368758,7,2418.25,1.8337963807518836,1.5272766621722738,0.07091373705465495,-0.8889037848649912
0.6684745396515088,-1.6680501393202443,-6.039213814802362,19,2444.25,1.8535125829226888,2.5219871225741977,0.18546244360244465,-2.332188648956984
0.2087942281026256,-1.6908669872230593,-6.1290118925553365,31,2468.25,1.8717121541572779,2.0805063822599035,0.1808451669342185,-2.3855875842407803
-0.3168013177145097,-1.7499815648389123,-4.2920776788461925,6,2416.25,1.832279749815668,1.5154784321011583,0.08229818497675573,-0.6275181792148562
1.0394481500400925,-1.6208717961290138,-6.144660636820847,18,2442.25,1.8519959519864728,2.8914441020265653,0.23112415585745913,-2.4406687328479006
-1.7378454870924602,-1.8746608405311311,-3.612506327623591,30,2466.25,1.870195523221062,0.13235003612860177,-0.004465317310069058,0.1278847188185328
-0.8986610555229829,-1.7134069078359606,-5.230061841350438,5,2414.25,1.8307631188794522,0.9321020633564693,0.11735621104349164,-1.5685356035915337
-0.8994853973457175,-1.8062597444688855,-4.211091621659713,17,2440.25,1.850479321050257,0.9509939237045395,0.044219576581371454,-0.5101329795591983
-1.042185985337369,-1.811807706870815,-5.602887264099253,35,2476.25,1.8777786779021408,0.835592692564772,0.0659709710313259,-1.8473299082949708
0.4900767208844745,-1.6364325109393243,-6.382343546037838,10,2424.25,1.8383462735605312,2.3284229944450057,0.20191376262120686,-2.705650998916776
0.818220159592348,-1.716622056669208,-6.461638887808785,22,2450.25,1.858062475731336,2.676282635323684,0.14144041906212787,-2.745513936346114
0.2297790216026887,-1.7840603329056082,-4.892223505742074,34,2474.25,1.876262046965925,2.1060410685686137,0.09220171406031678,-1.1396994118102246
-2.678358658978396,-1.8471345903003493,-3.936444626730659,9,2422.25,1.8368296426243151,-0.8415290163540811,-0.010304947676034192,-0.2627853414820291
-1.2303815335113035,-1.8565597883673395,-3.086941321878643,27,2460.25,1.865645630412415,0.6352640969011115,0.009085842045075421,0.644349938946187
0.0026636970084088496,-1.688083893598702,-5.677860860527322,2,2408.25,1.826213226070805,1.828876923079214,0.1381293324721031,-2.025434408385712
0.17011562211307463,-1.7124857152806168,-4.553063052857761,14,2434.25,1.8459294282416099,2.0160450503546845,0.1334437129609931,-0.8612041963745408
-1.4198470000599748,-1.8016443286782853,-5.315886431131455,26,2458.25,1.864128999476199,0.44428199941622415,0.06248467079791375,-1.5876284321790575
0.897092576082382,-1.6274339484158848,-6.2935783630654285,1,2406.25,1.824696595134589,2.721789171216971,0.19726264671870417,-2.644185172796251
-0.1548507364257481,-1.7127293987691647,-4.878273094885131,13,2432.25,1.844412797305394,1.689562060879646,0.13168339853622937,-1.189447500274343
-0.46222998634846046,-1.7983289157396631,-4.485853698380893,25,2456.25,1.8626123685399831,1.4003823821915227,0.06428345280032,-0.7606289613009274
0.4419767392753635,-1.615071760597433,-6.409082777305057,0,2404.25,1.8231799641983732,2.2651567034737368,0.20810820360094037,-2.7627228489083113
-0.3417867107352004,-1.7251718711587196,-4.8813020007347765,12,2430.25,1.8428961663691783,1.501109455633978,0.11772429521045867,-1.1955096679964197
-0.41190277056938385,-1.7667475669301647,-4.731194368541255,24,2454.25,1.8610957376037673,1.4491929670343835,0.09434817067360272,-1.0090028933337205
-0.2762409110592572,-1.8100856262210636,-5.162469343920327,36,2478.25,1.8792953088383566,1.6030543977790994,0.06920968261729289,-1.4038787262436134
0.7534428023712021,-1.6919838347246032,-5.781829706637666,11,2428.25,1.8413795354329627,2.594822337804165,0.14939570070835956,-2.0990706357717404
0.43256776496790494,-1.7581695023422736,-5.056243013512248,23,2452.25,1.8595791066675516,2.2921468716354565,0.10140960432527783,-1.337084800177145
-1.0919599233241497,-1.741020659179887,-4.4692267562487205,4,2412.25,1.8292464879432364,0.7372865646190867,0.08822582876334946,-0.8107337803622477
-0.8251789670464582,-1.7690659139842329,-5.670387687670697,16,2438.25,1.8489626901140415,1.0237837230675833,0.07989677612980861,-1.972462307442614
-1.0364160664375985,-1.8421637199733283,-3.991227184557312,28,2462.25,1.8671622613486305,0.8307461949110321,0.024998541375302122,-0.25690266186005106
-0.17552262337446556,-1.7121415781270766,-5.6837553245892085,3,2410.25,1.8277298570070206,1.652207233632555,0.11558827887994398,-2.0282956105751677
