phi12_correction,phi23_correction,phi13_correction,phi12_correction_8bit,phi23_correction_8bit,phi13_correction_8bit,channel,omega,ex_phi12,ave_phi12,ave_phi23,ave_phi13,ave_phi12_8bit,ave_phi23_8bit,ave_phi13_8bit
-2.979155583234926,-0.33037891080871146,2.973650813135948,0.8289039418007684,-0.49839629844016325,-0.7166899078359924,24,2454.25,1.139592468981618e-16,-2.979155583234926,-0.33037891080871135,2.9736508131359485,0.8289039418007685,-0.49839629844016314,-0.7166899078359922
-2.2008563970701744,-0.16552050534662618,2.411461924917676,0.3288680941033124,0.28961714516377,-0.29781261802994063,17,2440.25,1.133091788706282e-16,-2.2008563970701744,-0.16552050534662607,2.4114619249176763,0.3288680941033125,0.28961714516377013,-0.2978126180299404
-2.974481597204637,-0.19482355541544008,2.7866309198105714,-1.1829894183520153,-0.5991596838808471,1.0976441635577814,0,2404.25,1.1163757537125618e-16,-2.974481597204637,-0.19482355541543997,2.786630919810572,-1.182989418352015,-0.599159683880847,1.0976441635577816
-3.0201018895339473,-0.24076696946676882,2.8914167542792955,-0.31980504542328875,0.16752179655664515,0.3713155267316554,20,2446.25,1.135877794538569e-16,-3.0201018895339473,-0.2407669694667687,2.891416754279296,-0.31980504542328864,0.16752179655664526,0.37131552673165563
-2.5306682069456117,-0.2646119705917085,2.6370571192950303,-2.5306682069456117,-0.2646119705917085,2.6370571192950303,3,2410.25,1.1191617595448484e-16,-2.5306682069456117,-0.2646119705917084,2.6370571192950307,-2.5306682069456117,-0.2646119705917084,2.6370571192950307
-2.9949276321636007,-0.2969471578555144,2.9258606702106835,-1.02731029784883,-0.07760013684911497,0.6622354329463136,23,2452.25,1.1386638003708556e-16,-2.9949276321636007,-0.2969471578555143,2.925860670210684,-1.0273102978488298,-0.07760013684911486,0.6622354329463138
-2.7713768566379127,-0.3583471549563731,2.957111754735938,-2.7713768566379127,-0.3583471549563731,2.957111754735938,6,2416.25,1.1219477653771353e-16,-2.7713768566379127,-0.358347154956373,2.9571117547359385,-2.7713768566379127,-0.358347154956373,2.9571117547359385
-2.9353255302169465,-0.38962687507992333,2.9582329018827167,0.2042383889336803,0.09887857382458153,-0.28593165978982443,26,2458.25,1.1414498062031425e-16,-2.9353255302169465,-0.3896268750799232,2.958232901882717,0.2042383889336804,0.09887857382458164,-0.2859316597898242
-2.8963629368451413,-0.218417580131258,2.906605402404037,0.7542123366829931,-0.020547975753345386,-0.8371319658652489,9,2422.25,1.124733771209422e-16,-2.8963629368451413,-0.2184175801312579,2.9066054024040375,0.7542123366829933,-0.020547975753345275,-0.8371319658652486
0.6717037606842042,0.26933032185090633,-0.6952120912095733,0.6717037606842042,0.26933032185090633,-0.6952120912095733,34,2474.25,1.1488791550892403e-16,0.6717037606842043,0.26933032185090644,-0.6952120912095731,0.6717037606842043,0.26933032185090644,-0.6952120912095731
2.9965866065987465,0.2947274735605994,-2.991871227020241,-0.9220111431408747,0.4605583744097614,0.9784438641642087,24,2454.25,1.139592468981618e-16,2.9965866065987465,0.29472747356059953,-2.9918712270202406,-0.9220111431408746,0.4605583744097615,0.9784438641642089
2.526925687646333,0.34869835587092185,-2.949412335013821,2.526925687646333,0.34869835587092185,-2.949412335013821,3,2410.25,1.1191617595448484e-16,2.526925687646333,0.34869835587092196,-2.9494123350138204,2.526925687646333,0.34869835587092196,-2.9494123350138204
2.8921884800744704,0.38992374533990487,-2.935623234815424,0.6860767827779028,0.06669305541818944,-0.2944277130005054,19,2444.25,1.1349491259278067e-16,2.8921884800744704,0.389923745339905,-2.9356232348154236,0.686076782777903,0.06669305541818955,-0.2944277130005052
2.651374295379387,0.33670472512661387,-2.902407204974862,0.008643308712488008,-0.7678323092062749,-0.4973896126946374,11,2428.25,1.1275197770417088e-16,2.651374295379387,0.336704725126614,-2.9024072049748617,0.008643308712488121,-0.7678323092062748,-0.49738961269463716
2.9029954038546584,0.36442843081269455,-2.9503116255624473,0.0664118472547889,0.5202579677406829,0.1285208863469603,1,2406.25,1.117304422323324e-16,2.9029954038546584,0.36442843081269466,-2.950311625562447,0.066411847254789,0.520257967740683,0.12852088634696052
1.3576264239022113,-0.17597142853067227,-1.1090896478710184,1.3576264239022113,-0.17597142853067227,-1.1090896478710184,36,2478.25,1.150736492310765e-16,1.3576264239022116,-0.17597142853067216,-1.1090896478710182,1.3576264239022116,-0.17597142853067216,-1.1090896478710182
2.26427466774297,-0.139747484080361,-2.195162715023357,0.051493266959239586,-0.11920900355744306,-0.2640652774475655,15,2436.25,1.1312344514847577e-16,2.26427466774297,-0.1397474840803609,-2.1951627150233564,0.0514932669592397,-0.11920900355744295,-0.2640652774475653
0.4000964966318613,-0.64296673791331,-0.5701194760303856,-0.3294861137245335,-0.06439235643174847,0.12972030544201685,29,2464.25,1.144235812035429e-16,0.4000964966318614,-0.6429667379133099,-0.5701194760303854,-0.3294861137245334,-0.06439235643174836,0.12972030544201707
1.4976421374511286,0.15038498355709218,-1.624465226481147,1.4976421374511286,0.15038498355709218,-1.624465226481147,35,2476.25,1.1498078237000026e-16,1.4976421374511288,0.1503849835570923,-1.6244652264811468,1.4976421374511288,0.1503849835570923,-1.6244652264811468
1.784932709275864,-0.12583037994734078,-2.071538946809356,-0.7805669645832889,0.0507004476776417,0.3173310342909504,14,2434.25,1.1303057828739954e-16,1.7849327092758642,-0.12583037994734067,-2.0715389468093557,-0.7805669645832888,0.05070044767764181,0.3173310342909506
