phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12
1.4553678125840699,0.16320442009648795,-5.428887978232472,3,2410.25,1.292400176066783
0.9967307273095614,0.14604569978360038,-5.213459545607439,18,2442.25,1.3095588963796705
0.7737522282311906,0.1342490795684903,-5.200127663657799,29,2464.25,1.3213555165947806
1.3571377198545966,0.158914740018266,-1.8262087330778471,7,2418.25,1.2966898561450049
0.9186896153679922,0.1503353798618221,-5.205271477512984,14,2434.25,1.3052692163014488
1.0712144101793026,0.13853875964671203,-5.156262943407764,25,2456.25,1.3170658365165588
1.3186765514354253,0.12995939949026836,-4.9017406615662225,33,2472.25,1.3256451966730025
1.195512732444706,0.14175601970537843,-5.386847529236885,22,2450.25,1.3138485764578924
0.16929109227619876,0.1535526399204885,-5.002823806957357,11,2428.25,1.3020519562427824
0.7111024147814891,0.16642168015515413,-5.388816108166139,0,2404.25,1.2891829160081167
0.8909404392040465,0.1374663396271565,-5.239530704558607,26,2458.25,1.3181382565361144
0.7410780437061149,0.14926295984226656,-5.4745069043419985,15,2436.25,1.3063416363210043
1.448909727254903,0.1621320000769324,-5.192683070433359,4,2412.25,1.2934725960863385
0.8624704087817223,0.13317665954893476,-5.438958493377966,30,2466.25,1.322427936614336
0.7062988859706583,0.14497327976404484,-5.29431254787343,19,2444.25,1.310631316399226
1.5296675634809775,0.15784231999871046,-0.6564025971604501,8,2420.25,1.2977622761645604
1.2853863068832136,0.12888697947071281,-5.038573070409271,34,2474.25,1.326717616692558
1.3275755304477128,0.1406835996858229,-5.361822064778869,23,2452.25,1.314920996477448
1.0246067226281446,0.13853875964671203,-5.126124403187192,25,2456.25,1.3170658365165588
0.5991740045312417,0.1503353798618221,-5.21743347557136,14,2434.25,1.3052692163014488
0.9262993008344711,0.14819053982271124,-5.402254405566314,16,2438.25,1.3074140563405596
1.2522250980266716,0.16105958005737686,-5.33422104445601,5,2414.25,1.294545016105894
1.3577385024431436,0.13210423952937922,-4.634738339431927,31,2468.25,1.3235003566338917
0.9000434850828491,0.1439008597444893,-5.466964264389912,20,2446.25,1.3117037364187816
1.4867400272320883,0.15676989997915491,-2.9163200363941777,9,2422.25,1.298834696184116
1.0003599012305837,0.1278145594511575,-4.988844710403614,35,2476.25,1.3277900367121134
1.1812500652127298,0.13961117966626757,-5.2134162852237065,24,2454.25,1.3159934164970033
1.080858500789977,0.15140779988137765,-4.963596636967097,13,2432.25,1.3041967962818932
1.4575688183326567,0.16427684011604327,-3.529276898583923,2,2408.25,1.2913277560472276
0.9723144451686203,0.13532149958804562,-5.46119256190623,28,2462.25,1.3202830965752252
1.1036063148373725,0.14711811980315592,-5.317366522853673,17,2440.25,1.308486476360115
1.4058592417214064,0.15998716003782132,-3.485267275772724,6,2416.25,1.2956174361254496
1.5601609465826827,0.13103181950982368,-5.329015764194997,32,2470.25,1.3245727766534472
1.0807599235229683,0.14282843972493398,-5.375952831857204,21,2448.25,1.312776156438337
0.7713359281497978,0.15569747995959937,-5.253484747055935,10,2424.25,1.2999071162036715
1.388181572537113,0.15248021990093297,-4.871124697371844,12,2430.25,1.303124376262338
0.8729892090128291,0.14819053982271124,-5.385050837365576,16,2438.25,1.3074140563405596
1.0428949812909345,0.16105958005737686,-5.354927458957428,5,2414.25,1.294545016105894
0.9429491453473828,0.13639391960760094,-5.481809642202695,27,2460.25,1.31921067655567
1.3736280917534986,0.1653492601355988,-0.8373518126796482,1,2406.25,1.290255336027672
1.3625183838040245,0.13210423952937922,-4.445883599057888,31,2468.25,1.3235003566338917
0.9141631021660457,0.1439008597444893,-5.366535255949689,20,2446.25,1.3117037364187816
1.1358261394874103,0.15676989997915491,-0.6174952098066839,9,2422.25,1.298834696184116
0.14319968383939163,0.1535526399204885,-4.996114507697104,11,2428.25,1.3020519562427824
1.1041293436155002,0.15140779988137765,-4.97407074634597,13,2432.25,1.3041967962818932
1.4879456692634785,0.16427684011604327,-4.4634686824012455,2,2408.25,1.2913277560472276
1.0957614076845819,0.13532149958804562,-5.594761475896538,28,2462.25,1.3202830965752252
1.100241928866925,0.14711811980315592,-5.306494187451863,17,2440.25,1.308486476360115
1.377208958084982,0.15998716003782132,-4.36881822257683,6,2416.25,1.2956174361254496
1.5277238044014427,0.13103181950982368,-5.1780993620402835,32,2470.25,1.3245727766534472
1.0905763073797776,0.14282843972493398,-5.394697398808004,21,2448.25,1.312776156438337
1.0055121721674534,0.15569747995959937,-5.293011299624163,10,2424.25,1.2999071162036715
1.4354177685002558,0.15248021990093297,-4.862891589472786,12,2430.25,1.303124376262338
1.5892688788339213,0.1653492601355988,-0.7879823964999684,1,2406.25,1.290255336027672
0.9678731822078943,0.13639391960760094,-5.42688511444034,27,2460.25,1.31921067655567
0.9483543363491178,0.14819053982271124,-5.421931216193329,16,2438.25,1.3074140563405596
1.4370969211209983,0.13210423952937922,-4.748443010978178,31,2468.25,1.3235003566338917
0.9141500693056526,0.1439008597444893,-5.412327255241335,20,2446.25,1.3117037364187816
0.9039894461267728,0.16105958005737686,-5.500771858070335,5,2414.25,1.294545016105894
0.5300162469947978,0.15676989997915491,-1.0083828202032807,9,2422.25,1.298834696184116
0.3918666688824268,0.16642168015515413,-4.46956442546761,0,2404.25,1.2891829160081167
1.5488285810941271,0.16427684011604327,-3.0280460324528855,2,2408.25,1.2913277560472276
0.11503908681858621,0.1535526399204885,-4.971003653138181,11,2428.25,1.3020519562427824
1.0502357500413664,0.13532149958804562,-5.476200697202,28,2462.25,1.3202830965752252
