phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12
1.4553678125840699,-0.7319701775365302,-5.428887978232472,3,2410.25,1.292400176066783
0.9967307273095614,0.07299503426258669,-5.213459545607439,18,2442.25,1.3095588963796705
0.7737522282311906,0.3093054152905963,-5.200127663657799,29,2464.25,1.3213555165947806
1.3571377198545966,-0.8271519627400994,-1.8262087330778471,7,2418.25,1.2966898561450049
0.9186896153679922,0.028324520399035436,-5.205271477512984,14,2434.25,1.3052692163014488
1.0712144101793026,0.05570795359251912,-5.156262943407764,25,2456.25,1.3170658365165588
1.3186765514354253,0.0627680941779396,-4.9017406615662225,33,2472.25,1.3256451966730025
1.195512732444706,-0.2991749545020048,-5.386847529236885,22,2450.25,1.3138485764578924
0.16929109227619876,-0.39427607189907965,-5.002823806957357,11,2428.25,1.3020519562427824
0.7111024147814891,-0.013082756617403213,-5.388816108166139,0,2404.25,1.2891829160081167
0.8909404392040465,0.152714163416932,-5.239530704558607,26,2458.25,1.3181382565361144
0.7410780437061149,0.06760035913147289,-5.4745069043419985,15,2436.25,1.3063416363210043
1.448909727254903,-0.7511065722074002,-5.192683070433359,4,2412.25,1.2934725960863385
0.8624704087817223,-0.018243594980102085,-5.438958493377966,30,2466.25,1.322427936614336
0.7062988859706583,0.2825738733354979,-5.29431254787343,19,2444.25,1.310631316399226
1.5296675634809775,-1.073422762495043,-0.6564025971604501,8,2420.25,1.2977622761645604
1.2853863068832136,-0.04077407011289802,-5.038573070409271,34,2474.25,1.326717616692558
1.3275755304477128,-0.4062122880469943,-5.361822064778869,23,2452.25,1.314920996477448
1.0246067226281446,-0.06389535948511282,-5.126124403187192,25,2456.25,1.3170658365165588
0.5991740045312417,0.008428898428474163,-5.21743347557136,14,2434.25,1.3052692163014488
0.9262993008344711,-0.04536839922119862,-5.402254405566314,16,2438.25,1.3074140563405596
1.2522250980266716,-0.8268596109013937,-5.33422104445601,5,2414.25,1.294545016105894
1.3577385024431436,-0.6910392389422938,-4.634738339431927,31,2468.25,1.3235003566338917
0.9000434850828491,-0.08382244229317393,-5.466964264389912,20,2446.25,1.3117037364187816
1.4867400272320883,-1.130567716136898,-2.9163200363941777,9,2422.25,1.298834696184116
1.0003599012305837,0.09763115469602646,-4.988844710403614,35,2476.25,1.3277900367121134
1.1812500652127298,-0.3078305841062112,-5.2134162852237065,24,2454.25,1.3159934164970033
1.080858500789977,0.23873016942251346,-4.963596636967097,13,2432.25,1.3041967962818932
1.4575688183326567,-0.8635053590799759,-3.529276898583923,2,2408.25,1.2913277560472276
0.9723144451686203,-0.15032169989526345,-5.46119256190623,28,2462.25,1.3202830965752252
1.1036063148373725,-0.2032373774612457,-5.317366522853673,17,2440.25,1.308486476360115
1.4058592417214064,-0.9641357005068893,-3.485267275772724,6,2416.25,1.2956174361254496
1.5601609465826827,-0.605991403598093,-5.329015764194997,32,2470.25,1.3245727766534472
1.0807599235229683,-0.17352744820058597,-5.375952831857204,21,2448.25,1.312776156438337
0.7713359281497978,-0.7233830722729565,-5.253484747055935,10,2424.25,1.2999071162036715
1.388181572537113,0.023879037270629455,-4.871124697371844,12,2430.25,1.303124376262338
0.8729892090128291,0.025145260801180846,-5.385050837365576,16,2438.25,1.3074140563405596
1.0428949812909345,-0.8345854495164371,-5.354927458957428,5,2414.25,1.294545016105894
0.9429491453473828,-0.14157348037049,-5.481809642202695,27,2460.25,1.31921067655567
1.3736280917534986,-0.9019829654373996,-0.8373518126796482,1,2406.25,1.290255336027672
1.3625183838040245,-0.7033139207784987,-4.445883599057888,31,2468.25,1.3235003566338917
0.9141631021660457,0.0024869490638517178,-5.366535255949689,20,2446.25,1.3117037364187816
1.1358261394874103,-1.2951724206455828,-0.6174952098066839,9,2422.25,1.298834696184116
0.14319968383939163,-0.3614753642020192,-4.996114507697104,11,2428.25,1.3020519562427824
1.1041293436155002,0.20498521721811658,-4.97407074634597,13,2432.25,1.3041967962818932
1.4879456692634785,-0.8463262895813106,-4.4634686824012455,2,2408.25,1.2913277560472276
1.0957614076845819,-0.40733757640153423,-5.594761475896538,28,2462.25,1.3202830965752252
1.100241928866925,-0.1235508091392008,-5.306494187451863,17,2440.25,1.308486476360115
1.377208958084982,-0.7718388124779721,-4.36881822257683,6,2416.25,1.2956174361254496
1.5277238044014427,-0.488087706211927,-5.1780993620402835,32,2470.25,1.3245727766534472
1.0905763073797776,-0.20208839900819475,-5.394697398808004,21,2448.25,1.312776156438337
1.0055121721674534,-0.7352864810596903,-5.293011299624163,10,2424.25,1.2999071162036715
1.4354177685002558,-0.015124050793455801,-4.862891589472786,12,2430.25,1.303124376262338
1.5892688788339213,-1.13370418328793,-0.7879823964999684,1,2406.25,1.290255336027672
0.9678731822078943,-0.1115729894686488,-5.42688511444034,27,2460.25,1.31921067655567
0.9483543363491178,-0.08710024536285976,-5.421931216193329,16,2438.25,1.3074140563405596
1.4370969211209983,-0.7532026352668256,-4.748443010978178,31,2468.25,1.3235003566338917
0.9141500693056526,-0.04329201736740118,-5.412327255241335,20,2446.25,1.3117037364187816
0.9039894461267728,-0.9069741604149704,-5.500771858070335,5,2414.25,1.294545016105894
0.5300162469947978,-1.3420495263487164,-1.0083828202032807,9,2422.25,1.298834696184116
0.3918666688824268,0.24365696773337753,-4.46956442546761,0,2404.25,1.2891829160081167
1.5488285810941271,-0.9771330313087078,-3.0280460324528855,2,2408.25,1.2913277560472276
0.11503908681858621,-0.3082039126222904,-4.971003653138181,11,2428.25,1.3020519562427824
1.0502357500413664,-0.24325114006377935,-5.476200697202,28,2462.25,1.3202830965752252
1.463643621336463,-0.5856761863120337,-5.405217872155157,32,2470.25,1.3245727766534472
1.1076365253171745,-0.5791183070003997,-1.82767627187557,6,2416.25,1.2956174361254496
1.1744359966268014,-0.2859982641241017,-5.394747574676886,21,2448.25,1.312776156438337
0.9719434568984318,-0.28141744318489126,-5.330859905666896,17,2440.25,1.308486476360115
1.4194142890268553,-0.5777977024511214,-5.179769332804703,10,2424.25,1.2999071162036715
1.0708919708102906,-0.1939448126722283,-5.406238149041524,27,2460.25,1.31921067655567
1.3359828229088846,-0.8105970834506251,-2.354407526332385,1,2406.25,1.290255336027672
1.4058805391434246,-0.04229154851115968,-4.919596316547321,12,2430.25,1.303124376262338
1.0192325551036434,-0.10885060733752638,-5.372803359413469,16,2438.25,1.3074140563405596
