phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12
-0.5614874663084035,-0.5698650467179764,-1.7930068324574304,15,2436.25,1.8474460591778257
-0.5918200850327187,-0.6001976654422916,-1.8536720699060607,35,2476.25,1.8777786779021408
-0.5660373591170507,-0.5744149395266236,-1.8021066180747247,18,2442.25,1.8519959519864728
-0.5387380022651669,-0.5471155826747398,-1.7475079043709572,1,2406.25,1.824696595134589
-0.570587251925698,-0.578964832335271,-1.8112064036920195,21,2448.25,1.8565458447951202
-0.5432878950738143,-0.5516654754833872,-1.756607689988252,4,2412.25,1.8292464879432364
-0.5751371447343452,-0.5835147251439181,-1.8203061893093138,24,2454.25,1.8610957376037673
-0.5796870375429928,-0.5880646179525657,-1.829405974926609,27,2460.25,1.865645630412415
-0.5478377878824614,-0.5562153682920343,-1.7657074756055462,7,2418.25,1.8337963807518836
-0.552387680691109,-0.5607652611006819,-1.7748072612228414,10,2424.25,1.8383462735605312
-0.5842369303516399,-0.5926145107612129,-1.8385057605439032,30,2466.25,1.870195523221062
-0.5630040972446193,-0.5713816776541922,-1.796040094329862,16,2438.25,1.8489626901140415
-0.5584542044359719,-0.5668317848455449,-1.7869403087125673,13,2432.25,1.844412797305394
-0.5887868231602871,-0.59716440356986,-1.8476055461611975,33,2472.25,1.8747454160297092
-0.5675539900532667,-0.5759315704628396,-1.8051398799471567,19,2444.25,1.8535125829226888
-0.54480452601003,-0.553182106419603,-1.7596409518606835,5,2414.25,1.8307631188794522
-0.5721038828619138,-0.5804814632714868,-1.814239665564451,22,2450.25,1.858062475731336
-0.5402546332013829,-0.5486322136109558,-1.7505411662433892,2,2408.25,1.826213226070805
-0.576653775670561,-0.5850313560801339,-1.8233394511817453,25,2456.25,1.8626123685399831
-0.5660373591170507,-0.5744149395266236,-1.8021066180747247,18,2442.25,1.8519959519864728
-0.5387380022651669,-0.5471155826747398,-1.7475079043709572,1,2406.25,1.824696595134589
-0.570587251925698,-0.578964832335271,-1.8112064036920195,21,2448.25,1.8565458447951202
-0.5432878950738143,-0.5516654754833872,-1.756607689988252,4,2412.25,1.8292464879432364
-0.5751371447343452,-0.5835147251439181,-1.8203061893093138,24,2454.25,1.8610957376037673
-0.5478377878824614,-0.5562153682920343,-1.7657074756055462,7,2418.25,1.8337963807518836
-0.5796870375429928,-0.5880646179525657,-1.829405974926609,27,2460.25,1.865645630412415
-0.5690706209894822,-0.5774482013990552,-1.8081731418195879,20,2446.25,1.8550292138589044
-0.5584542044359719,-0.5668317848455449,-1.7869403087125673,13,2432.25,1.844412797305394
-0.5630040972446193,-0.5713816776541922,-1.796040094329862,16,2438.25,1.8489626901140415
-0.550871049754893,-0.5592486301644659,-1.7717739993504094,9,2422.25,1.8368296426243151
-0.5887868231602871,-0.59716440356986,-1.8476055461611975,33,2472.25,1.8747454160297092
-0.5827202994154241,-0.5910978798249971,-1.8354724986714717,29,2464.25,1.8686788922848463
-0.5569375734997561,-0.5653151539093291,-1.7839070468401357,12,2430.25,1.8428961663691783
-0.5614874663084035,-0.5698650467179764,-1.7930068324574304,15,2436.25,1.8474460591778257
-0.5872701922240713,-0.5956477726336442,-1.844572284288766,32,2470.25,1.8732287850934934
-0.5493544188186774,-0.5577319992282503,-1.7687407374779782,8,2420.25,1.8353130116880996
-0.5812036684792083,-0.5895812488887813,-1.83243923679904,28,2462.25,1.8671622613486305
-0.5554209425635406,-0.5637985229731135,-1.7808737849677045,11,2428.25,1.8413795354329627
-0.5857535612878557,-0.5941311416974286,-1.8415390224163348,31,2468.25,1.8717121541572779
-0.5599708353721877,-0.5683484157817607,-1.7899735705849988,14,2434.25,1.8459294282416099
-0.5903034540965029,-0.5986810345060758,-1.8506388080336291,34,2474.25,1.876262046965925
-0.5372213713289511,-0.545598951738524,-1.7444746424985256,0,2404.25,1.8231799641983732
-0.5645207281808349,-0.5728983085904078,-1.7990733562022931,17,2440.25,1.850479321050257
