,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
8,0,33,(60-103j),60,-103,119.20151005754919,13.0,52,13.0
9,0,33,(15-123j),15,-123,123.9112585683803,13.25,53,13.25
10,0,33,(-34-118j),-34,-118,122.80065146407001,13.5,54,13.5
11,0,33,(-75-94j),-75,-94,120.2538980657176,13.75,55,13.75
20,0,33,(80+66j),80,66,103.71113729971339,19.0,76,19.0
21,0,33,(98+29j),98,29,102.20078277586722,19.25,77,19.25
22,0,33,(100-8j),100,-8,100.31948963187563,19.5,78,19.5
23,0,33,(88-49j),88,-49,100.72239075796404,19.75,79,19.75
32,0,33,(-70-104j),-70,-104,125.36347155371855,25.0,100,25.0
33,0,33,(-110-65j),-110,-65,127.76932339180638,25.25,101,25.25
34,0,33,(-123-14j),-123,-14,123.79418403139947,25.5,102,25.5
35,0,33,(-113+45j),-113,45,121.63058825805291,25.75,103,25.75
44,0,33,(93-34j),93,-34,99.02019995940222,31.0,124,31.0
45,0,33,(73-72j),73,-72,102.53292154230269,31.25,125,31.25
46,0,33,(44-92j),44,-92,101.9803902718557,31.5,126,31.5
47,0,33,(4-100j),4,-100,100.07996802557443,31.75,127,31.75
56,0,33,(-116+18j),-116,18,117.38824472663352,37.0,148,37.0
57,0,33,(-101+66j),-101,66,120.65239326262865,37.25,149,37.25
58,0,33,(-70+99j),-70,99,121.24768039018313,37.5,150,37.5
59,0,33,(-21+118j),-21,118,119.85407794480753,37.75,151,37.75
68,0,33,(22-104j),22,-104,106.30145812734649,43.0,172,43.0
69,0,33,(-27-102j),-27,-102,105.51303237041384,43.25,173,43.25
70,0,33,(-63-84j),-63,-84,105.0,43.5,174,43.5
71,0,33,(-93-49j),-93,-49,105.11898020814318,43.75,175,43.75
80,0,33,(-26+122j),-26,122,124.73972903610141,49.0,196,49.0
81,0,33,(18+126j),18,126,127.27922061357856,49.25,197,49.25
