pkt,angle_ant1,angle_ant2,angle_ant3,angle_ant4,Total_angle_average,tetha_ant1,tetha_ant2,tetha_ant3,tetha_ant4
0,9.397944562410908,-25.40114424418512,36.73814533053796,26.173535674494183,11.727120330814483,0.07831798570865552,-0.21169663977521794,0.30618385078285815,0.21813306294567536
1,-11.530343579065962,-4.562902930386151,15.914513392926356,21.3029680987098,5.281058745546011,-0.09609532035852078,-0.03802689674875073,0.13263575072385017,0.17754183733363643
2,-11.54546828232674,-11.41445086201862,-2.3629545549136544,10.640792139880023,-3.6705203898447474,-0.09621786690953311,-0.09512534206898245,-0.019688585312801026,0.0886859753834848
3,-5.352047665418436,-7.415138445473287,3.482247342841996,8.927803018428241,-0.08928393740537155,-0.044600503600552885,-0.061795640553263226,0.029025776310477393,0.07440858553098266
4,-8.525653709068289,-15.104605743650144,-1.452294761556349,0.6364224222182663,-6.111532948014129,-0.07105024647237924,-0.12587951801220215,-0.012098354305163496,0.00530797459888863
5,-12.581307522665261,-16.499216280156183,-0.8955259155632302,-2.0238738838269636,-7.9999809005529094,-0.10485044347885586,-0.13750270745400708,-0.007457639127030893,-0.016862449737515613
6,-6.921479214007422,-15.373942507450899,1.49937344197684,-1.354416894895006,-5.537616293594122,-0.057682390393593984,-0.1281256292572874,0.012500532392712592,-0.011284958364634242
7,-3.8928719090108728,-14.225063513969827,3.0201960867003907,-1.7198422063891847,-4.2043953856673735,-0.0324420401179036,-0.11855158758230129,0.025174412202467415,-0.014331731788605036
8,-5.3446168901451205,-13.81436040148441,4.367042368117133,-1.2733683696231486,-4.016325823283887,-0.04454120247632153,-0.11512984217485832,0.036398583771063565,-0.010611035694358645
9,-5.2321958681181355,-15.426058671613092,3.0952735686050037,-3.5771349060188333,-5.285028969286264,-0.04360406247313154,-0.12856160703140834,0.02579988181299904,-0.029810700162930397
10,-3.4328055996673696,-13.168872085205358,2.6279452023254777,-4.606333513412495,-4.645016498989936,-0.028607386014769903,-0.10975018273224396,0.02190485169252021,-0.0383881888976312
11,-2.1653011633024635,-9.761625650058344,2.892959786518312,-1.5234907481698268,-2.639364443753081,-0.018044144981231455,-0.08135430755541395,0.024112758857454578,-0.012695691645349814
12,-1.0270712227350416,-7.631603793261808,2.730185305739434,1.1369210061411774,-1.1978921760290597,-0.008558818645011736,-0.06360339449458469,0.022754966042470473,0.00947570637652593
13,-2.9003970839004873,-5.509720894298691,3.2043735883357733,0.5936189196074122,-1.1530313675639983,-0.024170841870463027,-0.04591913093657587,0.026707224305482495,0.004948146667129152
14,-3.7625377116009235,-5.415198832406073,4.342720500269304,0.7256432214345419,-1.0273432055757878,-0.03135572673338383,-0.045131531263795106,0.036194512933643355,0.00604864652176423
15,-3.396787472085971,-5.1331589729242815,3.15986709114689,-0.847602710370805,-1.5544205160585423,-0.02830746814080396,-0.0427803317246214,0.026336569179674526,-0.007063002674601155
16,-3.7716559882941914,-1.7945476198575534,4.659325259841294,0.024593921782176342,-0.22057110663206855,-0.0314318971447209,-0.014956051995120139,0.03883291663805587,0.000205590941263606
17,-2.227137187641227,-0.7350690347306339,4.73360591306125,-0.20128842523111581,0.3925278163645683,-0.018559941435624564,-0.0061265495370846045,0.03945155382759779,-0.0016774747474270183
18,-0.7301707958891513,-0.9071786628017101,3.177494549394413,-0.1366401026171167,0.3508762470216087,-0.006084082262202235,-0.0075606444419320604,0.026482709478460955,-0.001138569292896566
19,-1.0117483701329903,1.212252524049751,4.196546881440912,0.41012726476971384,1.2017945750318466,-0.00843145001154693,0.01010272227571212,0.03497501570347417,0.003417704891778746
20,-1.2561690706883175,1.173732749973712,3.096196368531233,-1.3546041960323973,0.41478896294605755,-0.010468021859759003,0.009781990069548536,0.025804888636066763,-0.011289439037188832
21,-1.8362692189348189,2.334836714262787,3.4460828380936084,-1.335266532521199,0.6523459502250943,-0.015302936758064831,0.019458611393735024,0.02872069769237244,-0.011128519626323559
22,-1.1123627234509579,1.3513197490832267,5.639630307408792,0.3279862711646021,1.5516434010514157,-0.009270223241744131,0.011261588036763942,0.04700197477304293,0.0027330288585127684
23,-0.22631046284867598,2.011000120661756,5.475889705097282,1.841071146663761,2.2754126273935307,-0.0018860243291020818,0.016759253812106998,0.045636985368001995,0.015343117857744613
24,-0.5696334773458194,0.1491171375364177,6.383356104802753,2.222394186369443,2.0463084878406983,-0.004747401418309998,0.0012423125653551956,0.05320032011038107,0.01852128818828059
25,-1.4890141377599748,0.7847260183316603,6.282835272659955,1.674713885965985,1.8133152597994062,-0.012409690822755498,0.006539600499406776,0.0523625072153502,0.01395689136093027
26,-1.5368224109439286,1.1319223765783035,7.4559694687858284,2.321632490920793,2.343175481335249,-0.012808139104410175,0.009432846434683225,0.062139405847751635,0.019348337862961824
27,-2.4593624885995227,-0.1432391152458244,7.163027465270999,1.8401403843431952,1.6001415614422119,-0.020496640943568963,-0.001194387617844174,0.05969818950605722,0.015335751064934419
28,-2.8595730754369244,-1.7548032158945317,7.859680162657859,2.26009019097665,1.376348515575763,-0.023832180218833487,-0.014625240042043944,0.06550446467986337,0.01883580269990326
29,-3.693304929175891,-1.2145982409938638,7.575087742090356,1.8110714918846609,1.1195640159513156,-0.030780655712597388,-0.010122973417376868,0.06313263898680968,0.015093615365415036
30,-4.11410932706378,-1.7592172345129595,6.357075568140677,1.7973419409757945,0.570272736884933,-0.034287463317842465,-0.014661690975076067,0.05298171375594418,0.01497950182379624
31,-4.258363121708223,-2.3654810637128563,6.739133602795285,1.9566249439147712,0.517978590322244,-0.03548977979309509,-0.019714440525934393,0.05616585487312336,0.0163069584906711
32,-4.665148270666058,-1.4306695103565288,7.113659137721802,1.933635326073279,0.7378691706931237,-0.03888010151577903,-0.011923727729669363,0.059287091604084054,0.01611526992344621
33,-4.732682149233827,-1.9244911928616077,7.57587998324762,2.2422798265748196,0.7902466169317511,-0.03944287785399582,-0.016039214562456463,0.06313950725887614,0.018687739091146703
34,-5.137325127124413,-2.519363732055806,7.808641082238881,2.160989720641013,0.5782354859249187,-0.042815081311033766,-0.02099709939809524,0.06507947970611162,0.018010342477086036
35,-4.880971005760066,-2.9318420391097613,8.313642367292411,2.4370014081621982,0.7344576826461956,-0.04067878445627055,-0.024434946431428847,0.06928817666425732,0.020310471287297238
36,-4.185667682176942,-3.7201806942065043,8.24290369609135,3.586371406826614,0.9808566816336295,-0.03488416682701284,-0.031005012337307087,0.06869869157340869,0.029889560510051833
37,-4.046940166391939,-4.065398647158145,7.4013336005638255,2.563848995138901,0.4632109455381608,-0.03372771376377841,-0.033881972484819056,0.06168508293337054,0.02136787172675411
38,-3.718341059912839,-4.224919774828293,6.774910073143173,3.065833938604112,0.47437079425153816,-0.030989213527313996,-0.035211501738357326,0.05646423245001588,0.025551472595361537
39,-2.7774164452307013,-4.743949328850054,7.017418173587111,2.9816120090231384,0.6194161021323737,-0.023147401450937775,-0.03953708425240135,0.058485444372285846,0.024849575556089104
40,-2.9461112979008433,-5.3397652783430445,7.265251860068533,2.9857069501136206,0.49127055848456636,-0.024553388244440377,-0.0445027098394436,0.06055100545973096,0.024883713605276813
41,-3.2371960597692833,-6.170782483016235,5.9870846668779745,2.8933949614506767,-0.13187472861421667,-0.02697906316175647,-0.05142831984681886,0.0498987383367668,0.024114672551520125
42,-2.6923796362252532,-5.9500642919797695,5.711884720084479,2.4573079629020955,-0.11831281130461202,-0.022438505269885053,-0.049588877028710406,0.047605048613709976,0.02048007811308381
43,-2.274752230427173,-6.035606136244847,5.2157587604116085,3.091409311899764,-0.0007975735901618597,-0.018958159188171432,-0.05030190266418397,0.04347002579295493,0.025764637535619313
44,-2.8915153068723813,-5.740127466305415,5.048041925745671,2.7452378031926896,-0.20959076105985908,-0.024098293272212537,-0.047839364786108104,0.04207224513425245,0.022879646764238537
45,-1.6717696286702888,-5.334001528534292,5.211224549715196,4.026529164149031,0.5579956391649117,-0.013933081894442971,-0.04445482137449358,0.043431960796649,0.03355786499108137
46,-0.6645414485091311,-4.8926580184496355,5.311075727773862,3.946138417787846,0.9250036696507354,-0.005538864658083838,-0.04077667582165012,0.0442639575337158,0.03288764309061597
47,-0.3390426686771068,-5.2333076244177965,4.66187760001058,4.409966866737057,0.8748735434131836,-0.002826272493378901,-0.04361559489562568,0.03885336312067591,0.03675323892218865
48,-0.9862483555041942,-5.207432045471785,4.381840057684066,3.9418940593054863,0.5325134290033933,-0.008220009721092693,-0.04339992374249044,0.03651957537274532,0.032852409382220095
49,-0.3996664028283243,-5.252367800857394,5.256246232644871,4.682449913488262,1.0716654856118537,-0.0033315963185891486,-0.043774754620977,0.043806727295678215,0.03902402661225366
50,-0.12361803598989025,-5.4671288920201615,4.6999122246956215,3.9764671066152397,0.7714081008252023,-0.0010306997840870144,-0.045564498736335106,0.03917032726433434,0.0331404431688456
51,0.5036498244108333,-5.2507944954720465,4.553114921347542,3.6302582918549806,0.8590571355353274,0.004196945044725057,-0.043761614708875254,0.037946739869260074,0.030254871618779138
52,0.2916873944486058,-5.98477867032563,3.474824970694131,3.5831515916184435,0.34122132160888763,0.002430566886294749,-0.04987853520084307,0.028960283331030984,0.029862523306326313
53,-0.2812670738995121,-6.2345058355253835,3.0641100511526007,3.0797228955090294,-0.09298499069081634,-0.002344225730110494,-0.05195960224825945,0.025537562317017818,0.0256671492326087
54,0.27431471445967914,-6.3679454385514855,3.86168988957508,3.752805032937463,0.3802160496051842,0.0022858355536153198,-0.05307186140147931,0.032184528809287384,0.03127647795084731
55,0.24760876005801702,-6.0945203264928,3.9636162144426734,3.780391170934321,0.4742739547355529,0.002063285479996204,-0.05079325333205533,0.03303390148053088,0.03150634636874413
56,0.2741693576511772,-6.7400845457329925,3.114738917030088,3.9486995132156655,0.1493808105409844,0.0022846727955219345,-0.056173254447986105,0.025959381045518797,0.03290924793334569
57,0.008986403059675739,-6.507529398511564,3.10644779693566,3.7944520634880257,0.10058921624294925,7.47528276642175e-05,-0.05423521263782237,0.025890270558921718,0.031623809283391306
58,0.10303758585590887,-7.121200623563729,2.3152830868526113,2.9101174958396236,-0.4481906137538961,0.0008586847623740053,-0.05934939046473056,0.01929678521012002,0.02425374534308985
59,-0.42548119423934583,-7.182933310985316,2.0533985335660074,2.5269822423854595,-0.7570084323182988,-0.003545846551197397,-0.05986381277460144,0.01711433901394194,0.021060832986803057
60,-0.44429079608768984,-7.981863902898003,2.201146900586837,2.595872288000633,-0.9072838775995558,-0.003702634452462438,-0.06652211117354603,0.018345849759958417,0.02163505850608756
