pkt,angle_ant1,angle_ant2,angle_ant3,angle_ant4,Total_angle_average,tetha_ant1,tetha_ant2,tetha_ant3,tetha_ant4
0,100.55037206574448,61.43140770737216,61.87295352400166,69.10774255917285,73.24061896407278,0.8379752675133526,0.5119518479950459,0.5156318698137978,0.57593486274645
1,60.370648858258356,54.30805881385329,52.204158606162586,54.40056007206532,55.320856587584885,0.5031190848255149,0.4525947050800679,0.4350573438691432,0.4533647402094738
2,58.57518449353826,53.98559972433692,50.554554534470334,54.03264429894861,54.28699576282353,0.48814942276465384,0.4498998713752967,0.42130415332812937,0.4502913566344435
3,59.273205924615596,51.4703578276374,56.310585256413226,57.30873363883518,56.09072066187535,0.493967305237827,0.4289370166937426,0.4692773848345843,0.4775962461424339
4,55.84588635180665,52.33118569294191,55.63749156680596,56.36850062761462,55.045766059792285,0.4654023900443941,0.43610832420722434,0.4636648510110538,0.46975731611670263
5,64.22771169838981,59.507609313723286,63.06121635098427,64.90831367332481,62.926212759105546,0.5352562363009798,0.49591586657191006,0.5255335002426734,0.5409278880769366
6,47.57344464408464,45.392078995545056,47.57790197590586,49.17939632234619,47.43070548447044,0.39646552835445353,0.3782827055445266,0.3965012378341124,0.4098486914642224
7,32.2984886001274,30.217471580942824,32.10798911173474,33.55370577805664,32.0444137677154,0.26916981157793174,0.251823695956316,0.2675809224466795,0.2796300506917872
8,33.36920491614772,29.881350123417292,31.91271233432343,33.936542157675085,32.27495238289088,0.27809207054074964,0.24902221230297186,0.26595300248537135,0.2828197147772699
9,42.7631351785043,40.544422789455226,41.68557657536119,39.818399834603625,41.20288359448108,0.3563805753907595,0.337888916153208,0.34739991196264036,0.33183826567622965
10,36.49801250601152,33.80454332460032,35.19026761023239,33.822671763050565,34.828873800973696,0.3041690873970036,0.2817212043066986,0.293270289039834,0.281872034005204
11,27.528699543295865,26.6375489283474,27.147676955915017,25.72842741356851,26.760588210281696,0.2294209289334076,0.22199353258503457,0.22624540146808694,0.21441679373494585
12,28.313310464134176,26.740174617116537,27.3703410604117,26.46534518370807,27.22229283134262,0.23595865676230762,0.2228479940572591,0.2281001992711879,0.22055721435332665
13,32.99901761852355,29.604903745969033,29.665715913547512,31.80476426215087,31.01860038504774,0.2750085236332564,0.2467217105992511,0.24722855625737836,0.2650554568707144
14,38.34332818623756,26.507376916807978,26.420841742003343,28.56380297296984,29.95883745450468,0.31955019769193016,0.22090692767051726,0.22018547994120086,0.2380452469022855
15,40.78923482206217,31.42530936608163,28.858595001883728,31.26079340309948,33.08348314828175,0.3399338102333985,0.2618924590226644,0.24050063143565334,0.26052131246960075
