,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
4,0,21,(267-159j),267,-159,310.75713990188547,11.0,44,11.0
5,0,21,(261-354j),261,-354,439.8147337231894,11.25,45,11.25
6,0,21,(140-484j),140,-484,503.8412448380938,11.5,46,11.5
7,0,21,(-39-502j),-39,-502,503.51266121121523,11.75,47,11.75
16,0,21,(-293+4j),-293,4,293.027302482209,17.0,68,17.0
17,0,21,(-378+210j),-378,210,432.416465921454,17.25,69,17.25
18,0,21,(-326+362j),-326,362,487.15500613254505,17.5,70,17.5
19,0,21,(-164+466j),-164,466,494.01619406655084,17.75,71,17.75
28,0,21,(284+81j),284,81,295.3252444339969,23.0,92,23.0
29,0,21,(438-87j),438,-87,446.5568272907716,23.25,93,23.25
30,0,21,(433-248j),433,-248,498.9919839035493,23.5,94,23.5
31,0,21,(306-403j),306,-403,506.0088932024812,23.75,95,23.75
40,0,21,(-224-198j),-224,-198,298.9648808806814,29.0,116,29.0
41,0,21,(-426-108j),-426,-108,439.4769618535197,29.25,117,29.25
42,0,21,(-494+34j),-494,34,495.16865813579113,29.5,118,29.5
43,0,21,(-455+217j),-455,217,504.0972128468873,29.75,119,29.75
52,0,21,(115+281j),115,281,303.621474866321,35.0,140,35.0
53,0,21,(341+293j),341,293,449.5887009256349,35.25,141,35.25
54,0,21,(463+188j),463,188,499.71291758368625,35.5,142,35.5
55,0,21,(504-8j),504,-8,504.0634880647477,35.75,143,35.75
64,0,21,(-15-297j),-15,-297,297.37854663711033,41.0,164,41.0
65,0,21,(-222-365j),-222,-365,427.21072083925986,41.25,165,41.25
66,0,21,(-373-302j),-373,-302,479.9302032587655,41.5,166,41.5
67,0,21,(-475-136j),-475,-136,494.0860248984988,41.75,167,41.75
76,0,21,(-123+256j),-123,256,284.01584462842914,47.0,188,47.0
77,0,21,(19+428j),19,428,428.4215214015281,47.25,189,47.25
78,0,21,(184+449j),184,449,485.2391163127721,47.5,190,47.5
79,0,21,(362+353j),362,353,505.6213998635738,47.75,191,47.75
88,0,21,(204-226j),204,-226,304.45360894559946,53.0,212,53.0
89,0,21,(136-416j),136,-416,437.6665397308778,53.25,213,53.25
90,0,21,(-15-505j),-15,-505,505.22272316276513,53.5,214,53.5
91,0,21,(-177-482j),-177,-482,513.4715181974556,53.75,215,53.75
100,0,21,(-289+102j),-289,102,306.4718584144391,59.0,236,59.0
101,0,21,(-316+299j),-316,299,435.03678005428463,59.25,237,59.25
102,0,21,(-224+449j),-224,449,501.77385344395935,59.5,238,59.5
103,0,21,(-61+501j),-61,501,504.6999108381138,59.75,239,59.75
112,0,21,(298+16j),298,16,298.4292210893565,65.0,260,65.0
113,0,21,(404-157j),404,-157,433.4339626748232,65.25,261,65.25
114,0,21,(377-330j),377,-330,501.0279433325052,65.5,262,65.5
115,0,21,(252-436j),252,-436,503.5871324805669,65.75,263,65.75
124,0,21,(-285-125j),-285,-125,311.20732639190874,71.0,284,71.0
