,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
8,0,27,(-2+52j),-2,52,52.03844732503075,13.0,52,13.0
9,0,27,(31+50j),31,50,58.83026432033091,13.25,53,13.25
10,0,27,(51+34j),51,34,61.29437168288782,13.5,54,13.5
11,0,27,(57+8j),57,8,57.55866572463264,13.75,55,13.75
20,0,27,(4-56j),4,-56,56.142675390472796,19.0,76,19.0
21,0,27,(-27-53j),-27,-53,59.481089431852205,19.25,77,19.25
22,0,27,(-46-37j),-46,-37,59.033888572581766,19.5,78,19.5
23,0,27,(-53-8j),-53,-8,53.600373133029585,19.75,79,19.75
32,0,27,57j,0,57,57.0,25.0,100,25.0
33,0,27,(33+53j),33,53,62.433965115151864,25.25,101,25.25
34,0,27,(52+37j),52,37,63.8200595424354,25.5,102,25.5
35,0,27,(56+8j),56,8,56.568542494923804,25.75,103,25.75
44,0,27,(-8-54j),-8,-54,54.589376255824725,31.0,124,31.0
45,0,27,(-39-46j),-39,-46,60.30754513325841,31.25,125,31.25
46,0,27,(-56-27j),-56,-27,62.16912416947821,31.5,126,31.5
47,0,27,(-59+1j),-59,1,59.00847396772772,31.75,127,31.75
56,0,27,(10+52j),10,52,52.952809179494906,37.0,148,37.0
57,0,27,(44+43j),44,43,61.5223536610881,37.25,149,37.25
58,0,27,(61+25j),61,25,65.92419889539804,37.5,150,37.5
59,0,27,(62-2j),62,-2,62.03224967708329,37.75,151,37.75
68,0,27,(-10-50j),-10,-50,50.99019513592785,43.0,172,43.0
69,0,27,(-38-43j),-38,-43,57.38466694161429,43.25,173,43.25
70,0,27,(-57-25j),-57,-25,62.24146527838174,43.5,174,43.5
71,0,27,(-60-1j),-60,-1,60.00833275470999,43.75,175,43.75
80,0,27,(8+51j),8,51,51.62363799656123,49.0,196,49.0
81,0,27,(33+44j),33,44,55.0,49.25,197,49.25
82,0,27,(49+28j),49,28,56.43580423808985,49.5,198,49.5
83,0,27,(53+5j),53,5,53.23532661682466,49.75,199,49.75
92,0,27,(-18-53j),-18,-53,55.97320787662612,55.0,220,55.0
93,0,27,(-44-44j),-44,-44,62.22539674441618,55.25,221,55.25
94,0,27,(-57-24j),-57,-24,61.84658438426491,55.5,222,55.5
95,0,27,(-56+0j),-56,0,56.0,55.75,223,55.75
104,0,27,(6+57j),6,57,57.3149195236284,61.0,244,61.0
105,0,27,(33+48j),33,48,58.249463516842795,61.25,245,61.25
106,0,27,(54+27j),54,27,60.37383539249432,61.5,246,61.5
107,0,27,(59+2j),59,2,59.033888572581766,61.75,247,61.75
116,0,27,(-15-55j),-15,-55,57.0087712549569,67.0,268,67.0
117,0,27,(-41-44j),-41,-44,60.14149981501958,67.25,269,67.25
118,0,27,(-56-21j),-56,-21,59.80802621722272,67.5,270,67.5
119,0,27,(-57+3j),-57,3,57.07889277132134,67.75,271,67.75
128,0,27,(12+51j),12,51,52.392747589718944,73.0,292,73.0
129,0,27,(37+40j),37,40,54.48853090330111,73.25,293,73.25
130,0,27,(52+21j),52,21,56.08029957123981,73.5,294,73.5
131,0,27,(56+1j),56,1,56.00892785976178,73.75,295,73.75
140,0,27,(-20-56j),-20,-56,59.464274989274024,79.0,316,79.0
141,0,27,(-46-41j),-46,-41,61.61980201201558,79.25,317,79.25
142,0,27,(-59-18j),-59,-18,61.68468205316454,79.5,318,79.5
143,0,27,(-57+4j),-57,4,57.14017850864661,79.75,319,79.75
152,0,27,(16+44j),16,44,46.8187996428785,85.0,340,85.0
153,0,27,(44+31j),44,31,53.823786563191554,85.25,341,85.25
154,0,27,(56+15j),56,15,57.97413216254298,85.5,342,85.5
155,0,27,(57-6j),57,-6,57.3149195236284,85.75,343,85.75
164,0,27,(-14-47j),-14,-47,49.040799340956916,91.0,364,91.0
165,0,27,(-44-39j),-44,-39,58.7962583843564,91.25,365,91.25
166,0,27,(-58-23j),-58,-23,62.39390995922599,91.5,366,91.5
167,0,27,(-59+1j),-59,1,59.00847396772772,91.75,367,91.75
176,0,27,(14+51j),14,51,52.88667128870941,97.0,388,97.0
177,0,27,(44+40j),44,40,59.464274989274024,97.25,389,97.25
178,0,27,(60+21j),60,21,63.56886030125127,97.5,390,97.5
179,0,27,(61-7j),61,-7,61.40032573203501,97.75,391,97.75
188,0,27,(-17-51j),-17,-51,53.75872022286245,103.0,412,103.0
189,0,27,(-46-34j),-46,-34,57.201398584300364,103.25,413,103.25
190,0,27,(-61-14j),-61,-14,62.5859409132754,103.5,414,103.5
191,0,27,(-60+9j),-60,9,60.67124524847005,103.75,415,103.75
200,0,27,(19+49j),19,49,52.55473337388365,109.0,436,109.0
201,0,27,(44+29j),44,29,52.69724850502159,109.25,437,109.25
202,0,27,(53+7j),53,7,53.46026561849464,109.5,438,109.5
203,0,27,(50-16j),50,-16,52.49761899362675,109.75,439,109.75
212,0,27,(-20-50j),-20,-50,53.85164807134504,115.0,460,115.0
213,0,27,(-40-39j),-40,-39,55.86591089385369,115.25,461,115.25
214,0,27,(-53-22j),-53,-22,57.38466694161429,115.5,462,115.5
215,0,27,(-54+0j),-54,0,54.0,115.75,463,115.75
224,0,27,(29+46j),29,46,54.378304497290095,121.0,484,121.0
225,0,27,(50+29j),50,29,57.8013840664737,121.25,485,121.25
226,0,27,(60+6j),60,6,60.29925372672534,121.5,486,121.5
227,0,27,(55-14j),55,-14,56.753854494650845,121.75,487,121.75
236,0,27,(-21-53j),-21,-53,57.0087712549569,127.0,508,127.0
237,0,27,(-46-39j),-46,-39,60.30754513325841,127.25,509,127.25
238,0,27,(-61-12j),-61,-12,62.16912416947821,127.5,510,127.5
239,0,27,(-59+14j),-59,14,60.63827174318213,127.75,511,127.75
248,0,27,(28+47j),28,47,54.70831746635972,133.0,532,133.0
249,0,27,(47+30j),47,30,55.758407437802596,133.25,533,133.25
250,0,27,(54+7j),54,7,54.45181356024793,133.5,534,133.5
251,0,27,(49-15j),49,-15,51.24451190127583,133.75,535,133.75
260,0,27,(-33-47j),-33,-47,57.42821606144492,139.0,556,139.0
261,0,27,(-53-27j),-53,-27,59.481089431852205,139.25,557,139.25
262,0,27,(-60+0j),-60,0,60.0,139.5,558,139.5
263,0,27,(-50+24j),-50,24,55.46169849544819,139.75,559,139.75
272,0,27,(29+45j),29,45,53.53503525729669,145.0,580,145.0
273,0,27,(53+26j),53,26,59.033888572581766,145.25,581,145.25
274,0,27,(62+0j),62,0,62.0,145.5,582,145.5
275,0,27,(54-24j),54,-24,59.09314681077663,145.75,583,145.75
284,0,27,(-24-47j),-24,-47,52.773099207835045,151.0,604,151.0
285,0,27,(-48-30j),-48,-30,56.60388679233962,151.25,605,151.25
286,0,27,(-54-6j),-54,-6,54.3323108288245,151.5,606,151.5
287,0,27,(-48+15j),-48,15,50.28916384272063,151.75,607,151.75
304,1,12,(59+4j),59,4,59.135437767890075,169.0,52,13.0
305,1,12,(48-24j),48,-24,53.665631459994955,169.25,53,13.25
306,1,12,(30-45j),30,-45,54.08326913195984,169.5,54,13.5
307,1,12,(11-54j),11,-54,55.10898293381942,169.75,55,13.75
316,1,12,(-57-10j),-57,-10,57.87054518492115,175.0,76,19.0
317,1,12,(-52+14j),-52,14,53.85164807134504,175.25,77,19.25
318,1,12,(-42+31j),-42,31,52.20153254455275,175.5,78,19.5
319,1,12,(-30+42j),-30,42,51.61395160225576,175.75,79,19.75
328,1,12,(58+17j),58,17,60.440052945046304,181.0,100,25.0
329,1,12,(56-10j),56,-10,56.88585061331157,181.25,101,25.25
330,1,12,(49-29j),49,-29,56.938563381947034,181.5,102,25.5
331,1,12,(33-44j),33,-44,55.0,181.75,103,25.75
340,1,12,(-53-25j),-53,-25,58.60034129593445,187.0,124,31.0
341,1,12,(-55-1j),-55,-1,55.00909015790027,187.25,125,31.25
342,1,12,(-50+21j),-50,21,54.230987451824994,187.5,126,31.5
