,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
0,0,35,(27+56j),27,56,62.16912416947821,9.0,36,9.0
1,0,35,(46+37j),46,37,59.033888572581766,9.25,37,9.25
2,0,35,(54+19j),54,19,57.245087125446844,9.5,38,9.5
3,0,35,(59+0j),59,0,59.0,9.75,39,9.75
12,0,35,(-24-65j),-24,-65,69.28924880528002,15.0,60,15.0
13,0,35,(-51-42j),-51,-42,66.06814663663572,15.25,61,15.25
14,0,35,(-61-17j),-61,-17,63.324560795950255,15.5,62,15.5
15,0,35,(-60+1j),-60,1,60.00833275470999,15.75,63,15.75
24,0,35,(26+67j),26,67,71.8679344353238,21.0,84,21.0
25,0,35,(50+44j),50,44,66.60330322138685,21.25,85,21.25
26,0,35,(60+16j),60,16,62.0966987850401,21.5,86,21.5
27,0,35,(61-7j),61,-7,61.40032573203501,21.75,87,21.75
36,0,35,(-37-64j),-37,-64,73.92563831310488,27.0,108,27.0
37,0,35,(-59-40j),-59,-40,71.28113354878694,27.25,109,27.25
38,0,35,(-66-20j),-66,-20,68.96375859826666,27.5,110,27.5
39,0,35,(-64+3j),-64,3,64.07027391856539,27.75,111,27.75
48,0,35,(37+62j),37,62,72.20110802473879,33.0,132,33.0
49,0,35,(65+29j),65,29,71.17583859709698,33.25,133,33.25
50,0,35,(70+0j),70,0,70.0,33.5,134,33.5
51,0,35,(60-24j),60,-24,64.62197768561404,33.75,135,33.75
60,0,35,(-30-55j),-30,-55,62.64982043070834,39.0,156,39.0
61,0,35,(-51-25j),-51,-25,56.79788728465171,39.25,157,39.25
62,0,35,(-57+1j),-57,1,57.0087712549569,39.5,158,39.5
63,0,35,(-55+16j),-55,16,57.28001396647874,39.75,159,39.75
72,0,35,(48+65j),48,65,80.80222769206304,45.0,180,45.0
73,0,35,(70+28j),70,28,75.39230729988306,45.25,181,45.25
74,0,35,(68-11j),68,-11,68.8839603971781,45.5,182,45.5
75,0,35,(52-35j),52,-35,62.68173577685928,45.75,183,45.75
84,0,35,(-35-60j),-35,-60,69.46221994724903,51.0,204,51.0
85,0,35,(-58-28j),-58,-28,64.40496875241847,51.25,205,51.25
86,0,35,(-65+4j),-65,4,65.12296062065974,51.5,206,51.5
87,0,35,(-55+31j),-55,31,63.13477647065839,51.75,207,51.75
96,0,35,(47+50j),47,50,68.62215385719105,57.0,228,57.0
97,0,35,(66+13j),66,13,67.26812023536856,57.25,229,57.25
98,0,35,(61-17j),61,-17,63.324560795950255,57.5,230,57.5
99,0,35,(43-34j),43,-34,54.817880294662984,57.75,231,57.75
108,0,35,(-39-43j),-39,-43,58.05170109479997,63.0,252,63.0
109,0,35,(-64-10j),-64,-10,64.77653896280658,63.25,253,63.25
110,0,35,(-65+24j),-65,24,69.28924880528002,63.5,254,63.5
111,0,35,(-49+46j),-49,46,67.20863039818622,63.75,255,63.75
120,0,35,(47+36j),47,36,59.20304046246274,69.0,276,69.0
121,0,35,(64+7j),64,7,64.38167441127949,69.25,277,69.25
122,0,35,(62-27j),62,-27,67.62396025078685,69.5,278,69.5
123,0,35,(40-49j),40,-49,63.25345840347388,69.75,279,69.75
132,0,35,(-55-42j),-55,-42,69.20260110718382,75.0,300,75.0
133,0,35,(-71+0j),-71,0,71.0,75.25,301,75.25
134,0,35,(-64+31j),-64,31,71.11258679024411,75.5,302,75.5
135,0,35,(-40+51j),-40,51,64.81512169239521,75.75,303,75.75
144,0,35,(49+44j),49,44,65.85590330410783,81.0,324,81.0
145,0,35,(68+5j),68,5,68.18357573492314,81.25,325,81.25
146,0,35,(67-30j),67,-30,73.40980860893181,81.5,326,81.5
147,0,35,(44-53j),44,-53,68.8839603971781,81.75,327,81.75
156,0,35,(-65-25j),-65,-25,69.6419413859206,87.0,348,87.0
157,0,35,(-67+18j),-67,18,69.3757882838098,87.25,349,87.25
158,0,35,(-52+49j),-52,49,71.449282711585,87.5,350,87.5
159,0,35,(-33+60j),-33,60,68.47627326307996,87.75,351,87.75
168,0,35,(67+24j),67,24,71.16881339463234,93.0,372,93.0
169,0,35,(67-9j),67,-9,67.60177512462228,93.25,373,93.25
170,0,35,(52-34j),52,-34,62.12889826803627,93.5,374,93.5
171,0,35,(34-45j),34,-45,56.4003546088143,93.75,375,93.75
180,0,35,(-74-16j),-74,-16,75.7099729229908,99.0,396,99.0
181,0,35,(-68+21j),-68,21,71.16881339463234,99.25,397,99.25
182,0,35,(-51+43j),-51,43,66.70832032063167,99.5,398,99.5
183,0,35,(-30+55j),-30,55,62.64982043070834,99.75,399,99.75
192,0,35,(68-8j),68,-8,68.46897107449476,105.0,420,105.0
193,0,35,(54-36j),54,-36,64.89992295835181,105.25,421,105.25
194,0,35,(38-48j),38,-48,61.220911460055866,105.5,422,105.5
195,0,35,(20-55j),20,-55,58.52349955359813,105.75,423,105.75
204,0,35,(-63+6j),-63,6,63.28506932918696,111.0,444,111.0
205,0,35,(-48+33j),-48,33,58.249463516842795,111.25,445,111.25
206,0,35,(-31+46j),-31,46,55.47071299343465,111.5,446,111.5
207,0,35,(-17+54j),-17,54,56.61271941887264,111.75,447,111.75
216,0,35,(68-10j),68,-10,68.73136110975832,117.0,468,117.0
217,0,35,(51-37j),51,-37,63.00793600809346,117.25,469,117.25
218,0,35,(27-52j),27,-52,58.59180830116101,117.5,470,117.5
219,0,35,(7-52j),7,-52,52.46903848937962,117.75,471,117.75
228,0,35,(-69+15j),-69,15,70.61161377563892,123.0,492,123.0
229,0,35,(-49+47j),-49,47,67.89698078707183,123.25,493,123.25
230,0,35,(-27+59j),-27,59,64.88451279003334,123.5,494,123.5
231,0,35,(-5+61j),-5,61,61.204574992397426,123.75,495,123.75
240,0,35,(81-18j),81,-18,82.97590011563598,129.0,516,129.0
241,0,35,(55-55j),55,-55,77.78174593052023,129.25,517,129.25
242,0,35,(23-68j),23,-68,71.78439941937245,129.5,518,129.5
243,0,35,(-8-61j),-8,-61,61.5223536610881,129.75,519,129.75
252,0,35,(-74+1j),-74,1,74.00675644831355,135.0,540,135.0
253,0,35,(-58+43j),-58,43,72.20110802473879,135.25,541,135.25
