,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
8,0,32,(-91-40j),-91,-40,99.40321926376429,13.0,52,13.0
9,0,32,(-98-3j),-98,-3,98.04590761474952,13.25,53,13.25
10,0,32,(-91+36j),-91,36,97.86214794290998,13.5,54,13.5
11,0,32,(-67+69j),-67,69,96.17692030835673,13.75,55,13.75
20,0,32,(106-13j),106,-13,106.7941945987702,19.0,76,19.0
21,0,32,(93-52j),93,-52,106.55045753069294,19.25,77,19.25
22,0,32,(61-81j),61,-81,101.40019723846694,19.5,78,19.5
23,0,32,(26-92j),26,-92,95.60334722173695,19.75,79,19.75
32,0,32,(-74+62j),-74,62,96.54014708917737,25.0,100,25.0
33,0,32,(-40+88j),-40,88,96.66436778875658,25.25,101,25.25
34,0,32,(-4+99j),-4,99,99.08077512817509,25.5,102,25.5
35,0,32,(38+93j),38,93,100.46392387319938,25.75,103,25.75
44,0,32,(39-95j),39,-95,102.69371937952194,31.0,124,31.0
45,0,32,(-4-103j),-4,-103,103.07764064044152,31.25,125,31.25
46,0,32,(-40-92j),-40,-92,100.31948963187563,31.5,126,31.5
47,0,32,(-71-66j),-71,-66,96.93812459502195,31.75,127,31.75
56,0,32,(14+94j),14,94,95.03683496413377,37.0,148,37.0
57,0,32,(54+81j),54,81,97.3498844375277,37.25,149,37.25
58,0,32,(88+52j),88,52,102.2154587134451,37.5,150,37.5
59,0,32,(104+13j),104,13,104.80935072788114,37.75,151,37.75
68,0,32,(-52-78j),-52,-78,93.74433316206373,43.0,172,43.0
69,0,32,(-75-53j),-75,-53,91.83681179135085,43.25,173,43.25
70,0,32,(-88-17j),-88,-17,89.62700485902673,43.5,174,43.5
71,0,32,(-88+19j),-88,19,90.02777349240623,43.75,175,43.75
80,0,32,(90+46j),90,46,101.07423014794622,49.0,196,49.0
81,0,32,(102+3j),102,3,102.04410811016969,49.25,197,49.25
82,0,32,(94-36j),94,-36,100.65783625729296,49.5,198,49.5
83,0,32,(68-70j),68,-70,97.59098319004681,49.75,199,49.75
92,0,32,(-102+1j),-102,1,102.00490184299969,55.0,220,55.0
93,0,32,(-96+42j),-96,42,104.78549517943789,55.25,221,55.25
94,0,32,(-72+72j),-72,72,101.82337649086284,55.5,222,55.5
95,0,32,(-29+92j),-29,92,96.46242791885346,55.75,223,55.75
104,0,32,(77-47j),77,-47,90.21086409075129,61.0,244,61.0
105,0,32,(51-75j),51,-75,90.69729874698585,61.25,245,61.25
106,0,32,(13-93j),13,-93,93.90420650854784,61.5,246,61.5
107,0,32,(-27-93j),-27,-93,96.84007434941384,61.75,247,61.75
116,0,32,(-15+99j),-15,99,100.12991560967181,67.0,268,67.0
117,0,32,(25+96j),25,96,99.20181449953424,67.25,269,67.25
118,0,32,(63+79j),63,79,101.04454463255303,67.5,270,67.5
119,0,32,(87+53j),87,53,101.87246929372037,67.75,271,67.75
128,0,32,(9-104j),9,-104,104.38869670610895,73.0,292,73.0
129,0,32,(-35-96j),-35,-96,102.18121158021175,73.25,293,73.25
130,0,32,(-67-72j),-67,-72,98.35141076771599,73.5,294,73.5
131,0,32,(-90-33j),-90,-33,95.85927185202274,73.75,295,73.75
140,0,32,(55+85j),55,85,101.24228365658294,79.0,316,79.0
141,0,32,(85+53j),85,53,100.16985574512923,79.25,317,79.25
142,0,32,(96+16j),96,16,97.32420048477151,79.5,318,79.5
143,0,32,(92-29j),92,-29,96.46242791885346,79.75,319,79.75
152,0,32,(-88-37j),-88,-37,95.46203433826454,85.0,340,85.0
153,0,32,(-96-1j),-96,-1,96.00520819205592,85.25,341,85.25
154,0,32,(-87+37j),-87,37,94.54099639838793,85.5,342,85.5
155,0,32,(-62+67j),-62,67,91.28526715741155,85.75,343,85.75
164,0,32,(98-1j),98,-1,98.00510190801293,91.0,364,91.0
165,0,32,(90-37j),90,-37,97.30878685915265,91.25,365,91.25
166,0,32,(66-71j),66,-71,96.93812459502195,91.5,366,91.5
167,0,32,(36-91j),36,-91,97.86214794290998,91.75,367,91.75
176,0,32,(-88+53j),-88,53,102.7277956543408,97.0,388,97.0
177,0,32,(-58+85j),-58,85,102.90286682109493,97.25,389,97.25
178,0,32,(-22+98j),-22,98,100.43903623591775,97.5,390,97.5
179,0,32,(22+96j),22,96,98.48857801796105,97.75,391,97.75
188,0,32,(35-90j),35,-90,96.56603957913983,103.0,412,103.0
189,0,32,(-6-95j),-6,-95,95.1892851112981,103.25,413,103.25
190,0,32,(-40-85j),-40,-85,93.94147114027967,103.5,414,103.5
191,0,32,(-71-57j),-71,-57,91.0494371207203,103.75,415,103.75
200,0,32,(2+98j),2,98,98.02040603874276,109.0,436,109.0
201,0,32,(39+87j),39,87,95.34149149242423,109.25,437,109.25
202,0,32,(69+62j),69,62,92.76313923105448,109.5,438,109.5
203,0,32,(87+27j),87,27,91.09335870413386,109.75,439,109.75
212,0,32,(-56-90j),-56,-90,106.0,115.0,460,115.0
213,0,32,(-82-63j),-82,-63,103.40696301506973,115.25,461,115.25
214,0,32,(-96-23j),-96,-23,98.71676655968832,115.5,462,115.5
215,0,32,(-93+14j),-93,14,94.04786015641186,115.75,463,115.75
224,0,32,(93+43j),93,43,102.45974819410792,121.0,484,121.0
225,0,32,(105-1j),105,-1,105.00476179678711,121.25,485,121.25
226,0,32,(97-41j),97,-41,105.30906893520614,121.5,486,121.5
227,0,32,(71-79j),71,-79,106.21675950620975,121.75,487,121.75
236,0,32,(-96-10j),-96,-10,96.51942809610924,127.0,508,127.0
237,0,32,(-88+30j),-88,30,92.97311439335567,127.25,509,127.25
238,0,32,(-70+62j),-70,62,93.50935782048768,127.5,510,127.5
239,0,32,(-37+88j),-37,88,95.46203433826454,127.75,511,127.75
248,0,32,(85-53j),85,-53,100.16985574512923,133.0,532,133.0
249,0,32,(59-80j),59,-80,99.40321926376429,133.25,533,133.25
250,0,32,(20-95j),20,-95,97.082439194738,133.5,534,133.5
251,0,32,(-21-95j),-21,-95,97.29337079164233,133.75,535,133.75
260,0,32,(-37+89j),-37,89,96.38464608017192,139.0,556,139.0
261,0,32,95j,0,95,95.0,139.25,557,139.25
262,0,32,(41+85j),41,85,94.37160589923221,139.5,558,139.5
263,0,32,(69+64j),69,64,94.11163583744573,139.75,559,139.75
272,0,32,(-2-99j),-2,-99,99.02019995940222,145.0,580,145.0
273,0,32,(-43-89j),-43,-89,98.84331034521254,145.25,581,145.25
274,0,32,(-71-67j),-71,-67,97.62171889492625,145.5,582,145.5
275,0,32,(-89-33j),-89,-33,94.92101980067429,145.75,583,145.75
284,0,32,(56+80j),56,80,97.65244492586962,151.0,604,151.0
285,0,32,(85+47j),85,47,97.12878049270464,151.25,605,151.25
286,0,32,(98+11j),98,11,98.6154146165801,151.5,606,151.5
287,0,32,(95-31j),95,-31,99.92997548283498,151.75,607,151.75
304,1,15,(95+108j),95,108,143.83671297690307,169.0,52,13.0
305,1,15,(122+61j),122,61,136.40014662748717,169.25,53,13.25
306,1,15,(134+3j),134,3,134.03357788255897,169.5,54,13.5
307,1,15,(127-48j),127,-48,135.76818478568535,169.75,55,13.75
316,1,15,(-122-75j),-122,-75,143.20963654726592,175.0,76,19.0
317,1,15,(-134-18j),-134,-18,135.20355024924456,175.25,77,19.25
318,1,15,(-130+37j),-130,37,135.1628647225265,175.5,78,19.5
319,1,15,(-104+89j),-104,89,136.88316185711082,175.75,79,19.75
328,1,15,(145+11j),145,11,145.41664278891878,181.0,100,25.0
329,1,15,(129-45j),129,-45,136.6235704408284,181.25,101,25.25
330,1,15,(100-89j),100,-89,133.86933928274988,181.5,102,25.5
331,1,15,(51-126j),51,-126,135.9301291105103,181.75,103,25.75
340,1,15,(-136+39j),-136,39,141.4814475470194,187.0,124,31.0
341,1,15,(-99+94j),-99,94,136.517398158623,187.25,125,31.25
342,1,15,(-56+128j),-56,128,139.71399357258383,187.5,126,31.5
343,1,15,141j,0,141,141.0,187.75,127,31.75
352,1,15,(99-103j),99,-103,142.86357128393507,193.0,148,37.0
353,1,15,(39-131j),39,-131,136.6821129482567,193.25,149,37.25
354,1,15,(-17-137j),-17,-137,138.0507153186828,193.5,150,37.5
355,1,15,(-75-118j),-75,-118,139.8177385026664,193.75,151,37.75
364,1,15,(-36+139j),-36,139,143.58621103713267,199.0,172,43.0
365,1,15,(29+131j),29,131,134.17153200288055,199.25,173,43.25
366,1,15,(80+110j),80,110,136.01470508735443,199.5,174,43.5
367,1,15,(123+70j),123,70,141.52384958020326,199.75,175,43.75
376,1,15,(-18-142j),-18,-142,143.13629868066312,205.0,196,49.0
377,1,15,(-77-113j),-77,-113,136.74063039199433,205.25,197,49.25
378,1,15,(-115-74j),-115,-74,136.75159962501354,205.5,198,49.5
379,1,15,(-135-27j),-135,-27,137.6735268670052,205.75,199,49.75
388,1,15,(80+119j),80,119,143.39107364128355,211.0,220,55.0
389,1,15,(114+76j),114,76,137.0109484676316,211.25,221,55.25
390,1,15,(137+19j),137,19,138.31124321616085,211.5,222,55.5
391,1,15,(136-35j),136,-35,140.4314779527724,211.75,223,55.75
400,1,15,(-127-72j),-127,-72,145.98972566588375,217.0,244,61.0
401,1,15,(-138-15j),-138,-15,138.81282361511128,217.25,245,61.25
402,1,15,(-131+47j),-131,47,139.17614738165446,217.5,246,61.5
