pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
0,40,1,0,20,-77,-127,175
0,41,1,0,20,-77,-184,111
0,42,1,0,20,-77,-214,19
0,43,1,0,20,-77,-206,-69
0,44,1,0,20,-77,-158,-157
0,45,1,0,20,-77,-82,-205
0,46,1,0,20,-77,21,-208
0,47,1,0,20,-77,107,-175
0,56,1,1,20,-77,161,100
0,57,1,1,20,-77,98,159
0,58,1,1,20,-77,23,184
0,59,1,1,20,-77,-53,177
0,60,1,1,20,-77,-126,136
0,61,1,1,20,-77,-166,78
0,62,1,1,20,-77,-178,3
0,63,1,1,20,-77,-158,-63
1,392,1,2,20,-77,-102,-162
1,393,1,2,20,-77,-30,-190
1,394,1,2,20,-77,61,-185
1,395,1,2,20,-77,129,-146
1,396,1,2,20,-77,177,-75
1,397,1,2,20,-77,184,-1
1,398,1,2,20,-77,156,72
1,399,1,2,20,-77,110,123
1,408,1,0,20,-77,-235,-202
1,409,1,0,20,-77,-120,-282
1,410,1,0,20,-77,6,-307
1,411,1,0,20,-77,147,-281
1,412,1,0,20,-77,243,-210
1,413,1,0,20,-77,297,-99
1,414,1,0,20,-77,294,55
1,415,1,0,20,-77,235,188
2,264,1,1,20,-77,302,-71
2,265,1,1,20,-77,309,54
2,266,1,1,20,-77,257,186
2,267,1,1,20,-77,166,274
2,268,1,1,20,-77,32,321
2,269,1,1,20,-77,-98,300
2,270,1,1,20,-77,-217,218
2,271,1,1,20,-77,-306,82
2,280,1,2,20,-77,-212,21
2,281,1,2,20,-77,-203,-59
2,282,1,2,20,-77,-153,-137
2,283,1,2,20,-77,-84,-187
2,284,1,2,20,-77,6,-211
2,285,1,2,20,-77,83,-192
2,286,1,2,20,-77,151,-129
2,287,1,2,20,-77,185,-50
3,72,1,0,20,-77,307,103
3,73,1,0,20,-77,228,217
3,74,1,0,20,-77,116,285
3,75,1,0,20,-77,-30,313
3,76,1,0,20,-77,-152,287
3,77,1,0,20,-77,-258,196
3,78,1,0,20,-77,-305,66
3,79,1,0,20,-77,-297,-91
3,88,1,1,20,-77,-186,-109
3,89,1,1,20,-77,-130,-174
3,90,1,1,20,-77,-42,-211
3,91,1,1,20,-77,42,-210
3,92,1,1,20,-77,118,-175
3,93,1,1,20,-77,180,-103
3,94,1,1,20,-77,202,-17
3,95,1,1,20,-77,189,79
4,296,1,2,20,-77,44,175
4,297,1,2,20,-77,-38,172
4,298,1,2,20,-77,-106,137
4,299,1,2,20,-77,-163,76
4,300,1,2,20,-77,-185,10
4,301,1,2,20,-77,-172,-63
4,302,1,2,20,-77,-132,-115
4,303,1,2,20,-77,-73,-151
4,312,1,0,20,-77,100,295
4,313,1,0,20,-77,-19,302
4,314,1,0,20,-77,-138,263
4,315,1,0,20,-77,-246,176
4,316,1,0,20,-77,-303,74
4,317,1,0,20,-77,-304,-59
4,318,1,0,20,-77,-242,-176
4,319,1,0,20,-77,-127,-271
6,168,1,1,20,-77,-310,14
6,169,1,1,20,-77,-283,-119
6,170,1,1,20,-77,-214,-221
6,171,1,1,20,-77,-112,-292
6,172,1,1,20,-77,24,-314
6,173,1,1,20,-77,146,-278
6,174,1,1,20,-77,255,-171
6,175,1,1,20,-77,306,-47
6,184,1,2,20,-77,213,24
6,185,1,2,20,-77,178,122
6,186,1,2,20,-77,116,184
6,187,1,2,20,-77,30,217
6,188,1,2,20,-77,-48,212
6,189,1,2,20,-77,-127,162
6,190,1,2,20,-77,-176,87
6,191,1,2,20,-77,-196,-10
7,328,1,0,20,-77,-55,-213
7,329,1,0,20,-77,30,-212
7,330,1,0,20,-77,118,-169
7,331,1,0,20,-77,177,-107
7,332,1,0,20,-77,209,-21
7,333,1,0,20,-77,200,60
7,334,1,0,20,-77,146,140
7,335,1,0,20,-77,74,187
7,344,1,1,20,-77,-173,70
7,345,1,1,20,-77,-182,-16
7,346,1,1,20,-77,-160,-86
7,347,1,1,20,-77,-114,-140
7,348,1,1,20,-77,-43,-172
7,349,1,1,20,-77,27,-173
7,350,1,1,20,-77,98,-141
7,351,1,1,20,-77,149,-89
8,104,1,2,20,-77,-66,184
8,105,1,2,20,-77,-128,147
8,106,1,2,20,-77,-175,76
8,107,1,2,20,-77,-187,1
8,108,1,2,20,-77,-166,-78
8,109,1,2,20,-77,-122,-132
8,110,1,2,20,-77,-56,-167
8,111,1,2,20,-77,12,-171
8,120,1,0,20,-77,-24,298
8,121,1,0,20,-77,-155,255
8,122,1,0,20,-77,-248,178
8,123,1,0,20,-77,-307,63
8,124,1,0,20,-77,-310,-52
8,125,1,0,20,-77,-257,-165
8,126,1,0,20,-77,-137,-265
8,127,1,0,20,-77,-6,-304
9,200,1,1,20,-77,2,-178
9,201,1,1,20,-77,80,-163
9,202,1,1,20,-77,148,-114
9,203,1,1,20,-77,177,-51
9,204,1,1,20,-77,176,22
9,205,1,1,20,-77,145,95
9,206,1,1,20,-77,100,143
9,207,1,1,20,-77,33,171
9,216,1,2,20,-77,-43,-306
9,217,1,2,20,-77,80,-296
9,218,1,2,20,-77,205,-231
9,219,1,2,20,-77,283,-133
9,220,1,2,20,-77,319,2
9,221,1,2,20,-77,288,127
9,222,1,2,20,-77,183,242
9,223,1,2,20,-77,60,299
10,360,1,0,20,-77,-260,160
10,361,1,0,20,-77,-307,30
10,362,1,0,20,-77,-298,-93
10,363,1,0,20,-77,-235,-214
10,364,1,0,20,-77,-141,-289
10,365,1,0,20,-77,-7,-314
10,366,1,0,20,-77,119,-275
10,367,1,0,20,-77,234,-175
10,376,1,1,20,-77,201,-77
10,377,1,1,20,-77,220,6
10,378,1,1,20,-77,201,97
10,379,1,1,20,-77,150,163
10,380,1,1,20,-77,76,206
10,381,1,1,20,-77,-23,209
10,382,1,1,20,-77,-106,173
10,383,1,1,20,-77,-175,102
11,136,1,2,20,-77,50,-208
11,137,1,2,20,-77,136,-164
11,138,1,2,20,-77,187,-97
11,139,1,2,20,-77,211,-5
11,140,1,2,20,-77,200,77
11,141,1,2,20,-77,145,152
11,142,1,2,20,-77,66,190
11,143,1,2,20,-77,-32,197
11,152,1,0,20,-77,-190,-43
11,153,1,0,20,-77,-160,-113
11,154,1,0,20,-77,-94,-168
11,155,1,0,20,-77,-22,-190
11,156,1,0,20,-77,57,-177
11,157,1,0,20,-77,116,-140
11,158,1,0,20,-77,155,-76
11,159,1,0,20,-77,168,-10
12,232,1,1,20,-77,-24,212
12,233,1,1,20,-77,-121,180
12,234,1,1,20,-77,-186,119
12,235,1,1,20,-77,-226,28
12,236,1,1,20,-77,-220,-56
12,237,1,1,20,-77,-174,-130
12,238,1,1,20,-77,-86,-184
12,239,1,1,20,-77,4,-198
12,248,1,2,20,-77,188,-21
12,249,1,2,20,-77,182,59
12,250,1,2,20,-77,145,122
12,251,1,2,20,-77,77,170
12,252,1,2,20,-77,4,184
12,253,1,2,20,-77,-75,167
12,254,1,2,20,-77,-129,123
12,255,1,2,20,-77,-166,52
26,424,1,0,20,-77,120,173
26,425,1,0,20,-77,40,212
26,426,1,0,20,-77,-40,208
26,427,1,0,20,-77,-128,165
26,428,1,0,20,-77,-186,98
26,429,1,0,20,-77,-211,4
26,430,1,0,20,-77,-188,-81
26,431,1,0,20,-77,-124,-158
26,440,1,1,20,-77,168,-93
26,441,1,1,20,-77,193,-24
26,442,1,1,20,-77,183,61
26,443,1,1,20,-77,145,125
26,444,1,1,20,-77,77,168
26,445,1,1,20,-77,7,176
26,446,1,1,20,-77,-68,158
26,447,1,1,20,-77,-125,123
27,488,1,2,20,-77,139,119
27,489,1,2,20,-77,80,160
27,490,1,2,20,-77,-1,179
27,491,1,2,20,-77,-72,168
27,492,1,2,20,-77,-130,133
27,493,1,2,20,-77,-168,70
27,494,1,2,20,-77,-173,5
27,495,1,2,20,-77,-150,-73
