pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
1,136,1,0,22,-72,96,402
1,137,1,0,22,-72,-70,409
1,138,1,0,22,-72,-242,334
1,139,1,0,22,-72,-355,212
1,140,1,0,22,-72,-411,38
1,141,1,0,22,-72,-393,-124
1,142,1,0,22,-72,-299,-284
1,143,1,0,22,-72,-165,-385
1,152,1,1,22,-72,-70,292
1,153,1,1,22,-72,-185,237
1,154,1,1,22,-72,-259,157
1,155,1,1,22,-72,-299,43
1,156,1,1,22,-72,-295,-65
1,157,1,1,22,-72,-242,-182
1,158,1,1,22,-72,-153,-267
1,159,1,1,22,-72,-35,-312
2,168,1,2,22,-72,-310,-90
2,169,1,2,22,-72,-252,-202
2,170,1,2,22,-72,-160,-283
2,171,1,2,22,-72,-31,-329
2,172,1,2,22,-72,88,-325
2,173,1,2,22,-72,202,-259
2,174,1,2,22,-72,266,-153
2,175,1,2,22,-72,290,-6
2,184,1,0,22,-72,-258,350
2,185,1,0,22,-72,-363,227
2,186,1,0,22,-72,-412,48
2,187,1,0,22,-72,-394,-114
2,188,1,0,22,-72,-304,-267
2,189,1,0,22,-72,-177,-362
2,190,1,0,22,-72,2,-402
2,191,1,0,22,-72,163,-373
3,72,1,1,22,-72,-89,310
3,73,1,1,22,-72,-192,258
3,74,1,1,22,-72,-276,150
3,75,1,1,22,-72,-315,24
3,76,1,1,22,-72,-305,-125
3,77,1,1,22,-72,-238,-229
3,78,1,1,22,-72,-110,-291
3,79,1,1,22,-72,23,-297
3,88,1,2,22,-72,331,242
3,89,1,2,22,-72,193,357
3,90,1,2,22,-72,39,403
3,91,1,2,22,-72,-119,393
3,92,1,2,22,-72,-278,321
3,93,1,2,22,-72,-379,206
3,94,1,2,22,-72,-428,34
3,95,1,2,22,-72,-398,-134
4,200,1,0,22,-72,-265,156
4,201,1,0,22,-72,-310,35
4,202,1,0,22,-72,-302,-78
4,203,1,0,22,-72,-251,-180
4,204,1,0,22,-72,-149,-262
4,205,1,0,22,-72,-31,-299
4,206,1,0,22,-72,115,-283
4,207,1,0,22,-72,228,-218
4,216,1,1,22,-72,-166,-274
4,217,1,1,22,-72,-43,-324
4,218,1,1,22,-72,73,-311
4,219,1,1,22,-72,197,-242
4,220,1,1,22,-72,281,-136
4,221,1,1,22,-72,313,3
4,222,1,1,22,-72,281,119
4,223,1,1,22,-72,196,219
5,264,1,2,22,-72,92,-313
5,265,1,2,22,-72,212,-250
5,266,1,2,22,-72,284,-153
5,267,1,2,22,-72,319,-19
5,268,1,2,22,-72,303,102
5,269,1,2,22,-72,240,202
5,270,1,2,22,-72,121,268
5,271,1,2,22,-72,-3,283
5,280,1,0,22,-72,-347,-229
5,281,1,0,22,-72,-222,-345
5,282,1,0,22,-72,-72,-400
5,283,1,0,22,-72,108,-399
5,284,1,0,22,-72,250,-339
5,285,1,0,22,-72,363,-211
5,286,1,0,22,-72,403,-57
5,287,1,0,22,-72,382,132
6,40,1,1,22,-72,409,-81
6,41,1,1,22,-72,402,92
6,42,1,1,22,-72,331,236
6,43,1,1,22,-72,197,363
6,44,1,1,22,-72,46,421
6,45,1,1,22,-72,-129,404
6,46,1,1,22,-72,-266,320
6,47,1,1,22,-72,-365,180
6,56,1,2,22,-72,281,91
6,57,1,2,22,-72,219,200
6,58,1,2,22,-72,125,275
6,59,1,2,22,-72,0,309
6,60,1,2,22,-72,-111,288
6,61,1,2,22,-72,-224,215
6,62,1,2,22,-72,-298,111
6,63,1,2,22,-72,-326,-26
7,104,1,0,22,-72,167,260
7,105,1,0,22,-72,46,313
7,106,1,0,22,-72,-69,309
7,107,1,0,22,-72,-186,251
7,108,1,0,22,-72,-263,161
7,109,1,0,22,-72,-306,27
7,110,1,0,22,-72,-294,-105
7,111,1,0,22,-72,-221,-233
7,120,1,1,22,-72,-294,131
7,121,1,1,22,-72,-324,9
7,122,1,1,22,-72,-301,-125
7,123,1,1,22,-72,-234,-224
7,124,1,1,22,-72,-134,-290
