pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
0,40,1,0,24,-80,-261,78
0,41,1,0,24,-80,-275,-22
0,42,1,0,24,-80,-248,-118
0,43,1,0,24,-80,-178,-207
0,44,1,0,24,-80,-90,-257
0,45,1,0,24,-80,25,-272
0,46,1,0,24,-80,125,-244
0,47,1,0,24,-80,218,-171
0,56,1,1,24,-80,-44,115
0,57,1,1,24,-80,-81,97
0,58,1,1,24,-80,-109,56
0,59,1,1,24,-80,-120,9
0,60,1,1,24,-80,-117,-41
0,61,1,1,24,-80,-100,-78
0,62,1,1,24,-80,-63,-105
0,63,1,1,24,-80,-13,-110
2,200,1,2,24,-80,-92,82
2,201,1,2,24,-80,-118,47
2,202,1,2,24,-80,-123,4
2,203,1,2,24,-80,-110,-49
2,204,1,2,24,-80,-82,-93
2,205,1,2,24,-80,-36,-127
2,206,1,2,24,-80,12,-135
2,207,1,2,24,-80,67,-110
2,216,1,0,24,-80,122,72
2,217,1,0,24,-80,88,116
2,218,1,0,24,-80,33,141
2,219,1,0,24,-80,-21,141
2,220,1,0,24,-80,-78,122
2,221,1,0,24,-80,-118,85
2,222,1,0,24,-80,-139,23
2,223,1,0,24,-80,-133,-43
3,328,1,1,24,-80,-199,-179
3,329,1,1,24,-80,-117,-244
3,330,1,1,24,-80,-21,-269
3,331,1,1,24,-80,89,-252
3,332,1,1,24,-80,175,-204
3,333,1,1,24,-80,242,-118
3,334,1,1,24,-80,265,-22
3,335,1,1,24,-80,242,92
3,344,1,2,24,-80,-120,3
3,345,1,2,24,-80,-118,-39
3,346,1,2,24,-80,-92,-78
3,347,1,2,24,-80,-55,-103
3,348,1,2,24,-80,-7,-115
3,349,1,2,24,-80,37,-110
3,350,1,2,24,-80,80,-81
3,351,1,2,24,-80,106,-37
4,136,1,0,24,-80,-264,-25
4,137,1,0,24,-80,-240,-129
4,138,1,0,24,-80,-173,-213
4,139,1,0,24,-80,-89,-256
4,140,1,0,24,-80,23,-265
4,141,1,0,24,-80,122,-237
4,142,1,0,24,-80,213,-165
4,143,1,0,24,-80,260,-74
4,152,1,1,24,-80,-94,86
4,153,1,1,24,-80,-121,52
4,154,1,1,24,-80,-128,5
4,155,1,1,24,-80,-114,-53
4,156,1,1,24,-80,-86,-97
4,157,1,1,24,-80,-42,-124
