pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
1,168,1,0,12,-72,-322,70
1,169,1,0,12,-72,-321,-60
1,170,1,0,12,-72,-269,-187
1,171,1,0,12,-72,-179,-268
1,172,1,0,12,-72,-63,-311
1,173,1,0,12,-72,76,-305
1,174,1,0,12,-72,184,-251
1,175,1,0,12,-72,260,-155
1,184,1,1,12,-72,5,238
1,185,1,1,12,-72,-86,230
1,186,1,1,12,-72,-173,176
1,187,1,1,12,-72,-223,99
1,188,1,1,12,-72,-243,10
1,189,1,1,12,-72,-227,-92
1,190,1,1,12,-72,-179,-170
1,191,1,1,12,-72,-108,-224
2,104,1,2,12,-72,111,291
2,105,1,2,12,-72,1,308
2,106,1,2,12,-72,-124,280
2,107,1,2,12,-72,-218,219
2,108,1,2,12,-72,-289,122
2,109,1,2,12,-72,-317,17
2,110,1,2,12,-72,-301,-100
2,111,1,2,12,-72,-225,-225
2,120,1,0,12,-72,-298,109
2,121,1,0,12,-72,-321,-14
2,122,1,0,12,-72,-298,-141
2,123,1,0,12,-72,-234,-228
2,124,1,0,12,-72,-136,-288
2,125,1,0,12,-72,-2,-316
2,126,1,0,12,-72,120,-294
2,127,1,0,12,-72,236,-219
3,72,1,1,12,-72,-258,190
3,73,1,1,12,-72,-312,54
3,74,1,1,12,-72,-308,-64
3,75,1,1,12,-72,-259,-168
3,76,1,1,12,-72,-160,-260
3,77,1,1,12,-72,-49,-308
3,78,1,1,12,-72,66,-315
3,79,1,1,12,-72,182,-265
3,88,1,2,12,-72,111,198
3,89,1,2,12,-72,25,236
3,90,1,2,12,-72,-81,225
3,91,1,2,12,-72,-164,177
3,92,1,2,12,-72,-224,92
3,93,1,2,12,-72,-242,5
3,94,1,2,12,-72,-228,-80
3,95,1,2,12,-72,-177,-159
4,40,1,0,12,-72,170,168
4,41,1,0,12,-72,90,225
4,42,1,0,12,-72,-1,241
4,43,1,0,12,-72,-94,221
4,44,1,0,12,-72,-180,155
4,45,1,0,12,-72,-228,70
4,46,1,0,12,-72,-239,-35
4,47,1,0,12,-72,-213,-122
4,56,1,1,12,-72,184,237
4,57,1,1,12,-72,71,293
4,58,1,1,12,-72,-43,298
4,59,1,1,12,-72,-151,260
4,60,1,1,12,-72,-248,179
4,61,1,1,12,-72,-299,82
4,62,1,1,12,-72,-311,-28
4,63,1,1,12,-72,-273,-161
5,136,1,2,12,-72,79,216
5,137,1,2,12,-72,-14,237
5,138,1,2,12,-72,-114,209
5,139,1,2,12,-72,-186,150
5,140,1,2,12,-72,-230,72
5,141,1,2,12,-72,-242,-26
5,142,1,2,12,-72,-220,-110
5,143,1,2,12,-72,-163,-187
5,152,1,0,12,-72,79,290
5,153,1,0,12,-72,-35,298
5,154,1,0,12,-72,-154,259
5,155,1,0,12,-72,-239,186
5,156,1,0,12,-72,-291,83
5,157,1,0,12,-72,-297,-52
5,158,1,0,12,-72,-252,-171
5,159,1,0,12,-72,-150,-275
12,200,1,2,12,-72,-18,307
12,201,1,2,12,-72,-131,277
12,202,1,2,12,-72,-227,206
12,203,1,2,12,-72,-296,93
12,204,1,2,12,-72,-313,-19
12,205,1,2,12,-72,-280,-141
12,206,1,2,12,-72,-205,-234
12,207,1,2,12,-72,-93,-297
12,216,1,0,12,-72,-321,-23
12,217,1,0,12,-72,-285,-152
12,218,1,0,12,-72,-211,-251
12,219,1,0,12,-72,-89,-312
12,220,1,0,12,-72,37,-318
12,221,1,0,12,-72,172,-266
12,222,1,0,12,-72,262,-175
12,223,1,0,12,-72,304,-56
13,360,1,1,12,-72,-201,-242
13,361,1,1,12,-72,-66,-309
13,362,1,1,12,-72,54,-312
13,363,1,1,12,-72,162,-270
13,364,1,1,12,-72,262,-181
13,365,1,1,12,-72,316,-76
13,366,1,1,12,-72,327,35
13,367,1,1,12,-72,278,152
13,376,1,2,12,-72,-166,168
13,377,1,2,12,-72,-223,101
13,378,1,2,12,-72,-242,0
13,379,1,2,12,-72,-219,-92
13,380,1,2,12,-72,-157,-180
13,381,1,2,12,-72,-77,-227
13,382,1,2,12,-72,15,-240
13,383,1,2,12,-72,116,-212
14,296,1,0,12,-72,-142,269
14,297,1,0,12,-72,-242,184
14,298,1,0,12,-72,-291,83
14,299,1,0,12,-72,-300,-42
14,300,1,0,12,-72,-266,-148
14,301,1,0,12,-72,-198,-238
14,302,1,0,12,-72,-83,-303
14,303,1,0,12,-72,41,-317
14,312,1,1,12,-72,-271,-166
14,313,1,1,12,-72,-161,-263
14,314,1,1,12,-72,-44,-307
14,315,1,1,12,-72,76,-308
14,316,1,1,12,-72,197,-264
14,317,1,1,12,-72,278,-186
14,318,1,1,12,-72,321,-68
14,319,1,1,12,-72,306,53
15,488,1,2,12,-72,-305,67
15,489,1,2,12,-72,-301,-54
15,490,1,2,12,-72,-249,-167
15,491,1,2,12,-72,-148,-264
15,492,1,2,12,-72,-37,-307
15,493,1,2,12,-72,88,-304
15,494,1,2,12,-72,191,-252
15,495,1,2,12,-72,274,-158
15,504,1,0,12,-72,-41,-319
15,505,1,0,12,-72,82,-306
15,506,1,0,12,-72,185,-253
15,507,1,0,12,-72,270,-156
15,508,1,0,12,-72,312,-48
15,509,1,0,12,-72,311,81
15,510,1,0,12,-72,260,183
15,511,1,0,12,-72,166,256
16,232,1,1,12,-72,-41,220
16,233,1,1,12,-72,-127,201
16,234,1,1,12,-72,-193,145
16,235,1,1,12,-72,-236,54
16,236,1,1,12,-72,-238,-41
16,237,1,1,12,-72,-207,-131
16,238,1,1,12,-72,-137,-206
16,239,1,1,12,-72,-57,-241
16,248,1,2,12,-72,-95,287
16,249,1,2,12,-72,-192,233
16,250,1,2,12,-72,-264,146
16,251,1,2,12,-72,-305,23
16,252,1,2,12,-72,-298,-91
16,253,1,2,12,-72,-247,-197
16,254,1,2,12,-72,-142,-288
16,255,1,2,12,-72,-17,-329
17,424,1,0,12,-72,-200,112
17,425,1,0,12,-72,-238,39
17,426,1,0,12,-72,-235,-52
17,427,1,0,12,-72,-195,-129
17,428,1,0,12,-72,-127,-192
17,429,1,0,12,-72,-32,-231
17,430,1,0,12,-72,56,-232
17,431,1,0,12,-72,144,-190
17,440,1,1,12,-72,-262,123
17,441,1,1,12,-72,-288,9
17,442,1,1,12,-72,-265,-119
17,443,1,1,12,-72,-200,-214
17,444,1,1,12,-72,-105,-278
17,445,1,1,12,-72,21,-306
17,446,1,1,12,-72,137,-283
17,447,1,1,12,-72,253,-201
18,264,1,2,12,-72,-306,-76
18,265,1,2,12,-72,-240,-195
18,266,1,2,12,-72,-138,-274
18,267,1,2,12,-72,0,-307
18,268,1,2,12,-72,123,-289
18,269,1,2,12,-72,225,-231
18,270,1,2,12,-72,298,-124
18,271,1,2,12,-72,314,-5
18,280,1,0,12,-72,-97,223
18,281,1,0,12,-72,-182,174
18,282,1,0,12,-72,-227,98
18,283,1,0,12,-72,-240,-6
18,284,1,0,12,-72,-223,-95
18,285,1,0,12,-72,-178,-170
18,286,1,0,12,-72,-98,-228
18,287,1,0,12,-72,-9,-246
19,328,1,1,12,-72,-120,207
19,329,1,1,12,-72,-201,150
19,330,1,1,12,-72,-240,71
19,331,1,1,12,-72,-246,-18
19,332,1,1,12,-72,-214,-115
19,333,1,1,12,-72,-156,-184
19,334,1,1,12,-72,-66,-233
19,335,1,1,12,-72,24,-240
19,344,1,2,12,-72,-183,246
19,345,1,2,12,-72,-273,144
19,346,1,2,12,-72,-311,33
19,347,1,2,12,-72,-299,-83
19,348,1,2,12,-72,-228,-199
19,349,1,2,12,-72,-128,-273
